Threshold,Global_Dbmark_TPR,Global_Dbmark_FPR,Global_NOX_TPR,Global_NOX_FPR,Global_Total_TPR,Global_Total_FPR
0,1,1,1,1,1,1
0.01,0.963636,0.543536,0.891379,0.615312,0.915849,0.580832
0.02,0.946128,0.450407,0.84931,0.522058,0.882098,0.487639
0.03,0.92862,0.388628,0.814483,0.457106,0.853136,0.424211
0.04,0.906397,0.343624,0.782759,0.405491,0.824629,0.375771
0.05,0.886195,0.311394,0.753793,0.365312,0.798632,0.339411
0.06,0.86734,0.284267,0.726897,0.329544,0.774458,0.307794
0.07,0.851852,0.262242,0.705172,0.299715,0.754846,0.281714
0.08,0.836364,0.245136,0.680345,0.275451,0.733181,0.260889
0.09,0.818182,0.22814,0.656552,0.253733,0.711288,0.241439
0.1,0.800673,0.213861,0.637931,0.235001,0.693044,0.224846
0.11,0.783165,0.199582,0.617241,0.218576,0.673432,0.209452
0.12,0.764983,0.188275,0.6,0.203543,0.655872,0.196209
0.13,0.748148,0.177226,0.583793,0.189867,0.639453,0.183795
0.14,0.729966,0.167095,0.563793,0.178329,0.620068,0.172932
0.15,0.712458,0.157808,0.55,0.166757,0.605017,0.162458
0.16,0.694949,0.149769,0.536552,0.157493,0.590194,0.153782
0.17,0.682155,0.142354,0.523793,0.148263,0.577423,0.145424
0.18,0.672054,0.135783,0.504483,0.139677,0.561231,0.137806
0.19,0.658586,0.129396,0.48931,0.133365,0.546636,0.131458
0.2,0.641751,0.123669,0.47069,0.126544,0.52862,0.125163
0.21,0.624916,0.117576,0.455862,0.120232,0.513113,0.118956
0.22,0.616835,0.111849,0.438621,0.114599,0.498974,0.113278
0.23,0.60404,0.106196,0.425172,0.108592,0.485747,0.107441
0.24,0.594613,0.101204,0.41069,0.103841,0.472976,0.102575
0.25,0.583838,0.096946,0.396552,0.098208,0.459977,0.097602
0.26,0.567677,0.092871,0.384138,0.093932,0.446294,0.093423
0.27,0.551515,0.089054,0.36931,0.08908,0.431015,0.089067
0.28,0.540741,0.084906,0.359655,0.085177,0.420981,0.085047
0.29,0.535354,0.081272,0.35,0.081275,0.412771,0.081273
0.3,0.526599,0.077711,0.342414,0.077949,0.404789,0.077835
0.31,0.518519,0.074701,0.33,0.074555,0.393843,0.074625
