Protein,TP,Annotated_Residues,TPR,FP,Non-Annotated_Residues,FPR
2SIC.E,17,17,1,228,228,1
2A5T.A,10,10,1,244,244,1
1DFJ.I,18,18,1,416,416,1
2BTF.A,18,18,1,319,319,1
1KLU.D,11,11,1,204,204,1
4JCV.E,11,11,1,202,202,1
4G6M.H,14,14,1,384,384,1
3R9A.B,13,17,0.764706,237,233,1.017167
2B42.B,21,21,1,157,157,1
1KAC.A,9,9,1,172,172,1
1GXD.C,18,18,1,169,169,1
2FD6.H,14,14,1,366,366,1
1DE4.E,21,21,1,76,76,1
3G6D.L,15,15,1,378,378,1
3SZK.F,11,11,1,127,127,1
1JIW.I,15,15,1,90,90,1
1JIW.P,20,20,1,411,411,1
1ACB.I,11,11,1,52,52,1
1GHQ.A,5,5,1,257,257,1
1VFB.A,15,15,1,195,195,1
3SZK.E,12,12,1,111,111,1
2B42.A,19,19,1,316,316,1
1KAC.B,12,12,1,111,111,1
1ZHH.A,13,13,1,308,308,1
3EO1.A,12,12,1,397,397,1
2W9E.H,17,17,1,375,375,1
1DQJ.A,18,18,1,368,368,1
3EOA.L,12,12,1,374,374,1
1FC2.D,10,10,1,196,196,1
2A5T.B,14,14,1,248,248,1
2C0L.A,19,19,1,262,262,1
1TMQ.A,18,18,1,398,398,1
1US7.A,7,7,1,188,188,1
4M76.B,12,12,1,159,159,1
2HLE.B,13,13,1,119,119,1
2B4J.C,8,8,1,74,74,1
1AVX.A,19,19,1,187,187,1
2CFH.C,10,10,1,136,136,1
1XQS.A,23,23,1,229,229,1
3L5W.L,10,10,1,384,384,1
1T6B.Y,14,14,1,147,147,1
1ML0.A,9,9,1,336,336,1
1OFU.A,12,12,1,270,270,1
1ZHI.B,8,8,1,117,117,1
1F34.A,23,23,1,278,278,1
2AJF.E,11,11,1,155,155,1
1ZHI.A,9,9,1,182,182,1
3S9D.B,12,12,1,166,166,1
1US7.B,8,8,1,182,182,1
1E6J.H,7,7,1,399,399,1
4M76.A,7,7,1,250,250,1
1TMQ.B,15,15,1,101,101,1
2BTF.P,18,18,1,116,116,1
3BX7.C,16,16,1,104,104,1
1E4K.C,12,12,1,160,160,1
2VDB.A,11,11,1,520,520,1
1KXP.A,20,20,1,302,302,1
1FLE.E,11,11,1,201,201,1
1AK4.A,9,9,1,153,153,1
3MXW.L,14,14,1,389,389,1
2VXT.H,13,13,1,378,378,1
4DN4.L,14,14,1,380,380,1
2VIS.A,12,12,1,377,377,1
1QA9.A,13,13,1,89,89,1
1MQ8.B,12,12,1,152,152,1
3DAW.B,16,16,1,120,120,1
3HMX.L,16,16,1,387,387,1
3F1P.B,18,18,1,91,91,1
3AAA.C,11,11,1,105,105,1
3F1P.A,13,13,1,98,98,1
3BX7.A,16,16,1,157,157,1
3DAW.A,20,20,1,317,317,1
1QA9.B,15,15,1,80,80,1
1MLC.A,13,13,1,392,392,1
4G6J.H,16,16,1,385,385,1
1T6B.X,12,12,1,623,623,1
1JPS.H,16,16,1,387,387,1
2J0T.A,18,18,1,139,139,1
4FQI.H,11,11,1,380,380,1
1AHW.A,20,20,1,384,384,1
2HQS.A,8,17,0.470588,246,237,1.037975
1FFW.A,8,8,1,116,116,1
3HI6.X,15,15,1,340,340,1
7CEI.B,10,10,1,116,116,1
1GXD.A,21,21,1,559,559,1
3V6Z.A,21,21,1,355,355,1
1ACB.E,13,13,1,209,209,1
1AY7.A,9,9,1,86,86,1
1BGX.H,31,31,1,274,274,1
1KXP.D,26,26,1,394,394,1
3VLB.A,15,15,1,356,356,1
1KTZ.A,7,7,1,75,75,1
3BIW.A,9,9,1,432,432,1
1EXB.E,3,3,1,88,88,1
2O3B.A,15,15,1,211,211,1
2SIC.I,11,11,1,96,96,1
3VLB.B,17,17,1,194,194,1
1DFJ.E,18,18,1,106,106,1
1IRA.X,23,23,1,120,120,1
1AY7.B,9,9,1,79,79,1
2HRK.B,8,8,1,113,113,1
2J0T.D,11,11,1,112,112,1
7CEI.A,13,13,1,74,74,1
1FFW.B,10,10,1,58,58,1
1PVH.B,8,8,1,157,157,1
3RVW.C,13,13,1,390,390,1
1WEJ.H,11,11,1,400,400,1
1S1Q.A,11,12,0.916667,125,124,1.008065
