protein,predus,ispred,dockpred,logreg,rfscore
1ACB.E,0.4285714285714286,0.380952380952381,0.5238095238095238,0.5714285714285715,0.5238095238095238
1ACB.I,0.5806451612903226,0.6451612903225806,0.5806451612903226,0.7096774193548387,0.7096774193548387
1AHW.A,0.5454545454545454,0.6181818181818183,0.7272727272727273,0.6909090909090908,0.6909090909090908
1AK4.A,0.2285714285714286,0.3428571428571429,0.17142857142857146,0.39999999999999997,0.28571428571428575
1AT3.A,0.5116279069767441,0.5116279069767441,0.6046511627906976,0.5581395348837209,0.5581395348837209
1ATN.A,0.2857142857142857,0.0816326530612245,0.163265306122449,0.2857142857142857,0.24489795918367344
1AVA.A,0.24489795918367344,0.6122448979591837,0.48979591836734687,0.6122448979591837,0.6122448979591837
1AVW.A,0.5531914893617021,0.5106382978723404,0.5531914893617021,0.6382978723404255,0.6382978723404255
1AVX.A,0.5957446808510638,0.46808510638297873,0.5531914893617021,0.5957446808510638,0.5957446808510638
1AVZ.B,0.5294117647058824,0.4705882352941176,0.1764705882352941,0.4705882352941176,0.411764705882353
1AY7.A,0.3125,0.3125,0.18750000000000003,0.43750000000000006,0.37500000000000006
1AY7.B,0.45161290322580644,0.2580645161290322,0.45161290322580644,0.5161290322580644,0.45161290322580644
1B34.A,0.5641025641025642,0.358974358974359,0.8205128205128205,0.8205128205128205,0.5641025641025642
1B3A.A,0.36363636363636365,0.5454545454545454,0.4242424242424242,0.6060606060606061,0.5454545454545454
1B5E.A,0.15384615384615385,0.523076923076923,0.4923076923076923,0.5846153846153845,0.43076923076923074
1B6C.A,0.5789473684210527,0.6315789473684211,0.31578947368421056,0.5789473684210527,0.5789473684210527
1B7B.A,0.3389830508474576,0.47457627118644063,0.3728813559322034,0.5762711864406779,0.5423728813559322
1B8A.A,0.5054945054945055,0.3076923076923077,0.5054945054945055,0.5274725274725274,0.43956043956043955
1B8J.A,0.5161290322580645,0.3655913978494624,0.45161290322580644,0.5161290322580645,0.47311827956989244
1B9M.A,0.3333333333333333,0.4444444444444444,0.3611111111111111,0.5277777777777778,0.5277777777777778
1BGX.H,0.4848484848484849,0.4848484848484849,0.4242424242424243,0.5454545454545455,0.5757575757575757
1BI7.A,0.2181818181818182,0.14545454545454545,0,0.14545454545454545,0.1090909090909091
1BJN.A,0.40625,0.5625,0.5625,0.625,0.5625
1BKD.R,0.6666666666666666,0.47058823529411764,0.5882352941176471,0.5490196078431373,0.5098039215686274
1BML.A,0.21818181818181817,0.18181818181818185,0.4727272727272727,0.4727272727272727,0.43636363636363634
