Proteinid  Number_of_known_Interface_residues  True_positives  False_positives  F_Score
1ACB.E     13                                  4               9                .307
1ACB.I     11                                  7               4                .636
1AHW.A     20                                  8               12               .400
1AY7.A     9                                   2               7                .222
1AY7.B     9                                   4               5                .444
1DE4.E     21                                  15              6                .714
1DFJ.I     18                                  11              7                .611
1DQJ.A     18                                  4               14               .222
1E4K.C     12                                  8               4                .666
1E6J.H     7                                   2               5                .285
1EXB.E     3                                   1               2                .333
1F34.A     23                                  1               22               .043
1FC2.D     10                                  2               8                .200
1FFW.A     8                                   0               8                0
1FFW.B     10                                  4               6                .400
1FLE.E     11                                  2               9                .181
1GHQ.A     5                                   0               5                0
1GXD.A     21                                  0               21               0
1GXD.C     18                                  8               10               .444
1IRA.X     23                                  12              11               .521
1JIW.I     15                                  4               11               .266
1JIW.P     20                                  5               15               .250
1JPS.H     16                                  5               11               .312
1KAC.A     9                                   0               9                0
1KAC.B     12                                  6               6                .500
1KLU.D     11                                  1               10               .090

global F score = .328 
average F score = 0.298037
