Threshold,Global_Dbmark_Precision,Global_Dbmark_Recall,Global_NOX_Precision,Global_NOX_Recall,Global_Total_Precision,Global_Total_Recall
0,0.051694,1,0.089595,1,0.071773,1
0.01,0.088127,0.963636,0.124777,0.891379,0.108673,0.915849
0.02,0.102742,0.946128,0.138006,0.84931,0.122708,0.882098
0.03,0.115243,0.92862,0.149192,0.814483,0.134578,0.853136
0.04,0.125712,0.906397,0.159646,0.782759,0.145069,0.824629
0.05,0.134299,0.886195,0.16879,0.753793,0.153934,0.798632
0.06,0.142604,0.86734,0.178357,0.726897,0.16287,0.774458
0.07,0.150434,0.851852,0.188011,0.705172,0.171627,0.754846
0.08,0.156818,0.836364,0.19554,0.680345,0.178512,0.733181
0.09,0.163526,0.818182,0.202963,0.656552,0.185533,0.711288
0.1,0.169494,0.800673,0.210826,0.637931,0.192464,0.693044
0.11,0.176212,0.783165,0.217471,0.617241,0.19911,0.673432
0.12,0.181325,0.764983,0.224864,0.6,0.205385,0.655872
0.13,0.187069,0.748148,0.2323,0.583793,0.211991,0.639453
0.14,0.192335,0.729966,0.2373,0.563793,0.217068,0.620068
0.15,0.197499,0.712458,0.245045,0.55,0.22358,0.605017
0.16,0.201878,0.694949,0.251089,0.536552,0.228844,0.590194
0.17,0.207115,0.682155,0.257982,0.523793,0.234901,0.577423
0.18,0.212476,0.672054,0.262233,0.504483,0.23949,0.561231
0.19,0.217189,0.658586,0.265283,0.48931,0.243301,0.546636
0.2,0.2205,0.641751,0.267962,0.47069,0.246177,0.52862
0.21,0.224643,0.624916,0.271737,0.455862,0.250111,0.513113
0.22,0.231138,0.616835,0.273607,0.438621,0.254064,0.498974
0.23,0.236675,0.60404,0.278141,0.425172,0.25903,0.485747
0.24,0.242582,0.594613,0.280169,0.41069,0.262831,0.472976
0.25,0.247149,0.583838,0.284372,0.396552,0.267082,0.459977
0.26,0.249926,0.567677,0.286965,0.384138,0.269745,0.446294
0.27,0.252388,0.551515,0.289773,0.36931,0.272295,0.431015
0.28,0.257702,0.540741,0.293555,0.359655,0.276803,0.420981
0.29,0.264207,0.535354,0.297654,0.35,0.281975,0.412771
0.3,0.269748,0.526599,0.301824,0.342414,0.286799,0.404789
0.31,0.27451,0.518519,0.303424,0.33,0.289814,0.393843
0.32,0.274437,0.50101,0.306136,0.318276,0.291128,0.38016
0.33,0.279141,0.490236,0.309197,0.31069,0.295002,0.371494
0.34,0.282041,0.480135,0.310086,0.298966,0.296769,0.360319
0.35,0.284606,0.46936,0.310946,0.288966,0.298406,0.350057
0.36,0.290336,0.459259,0.312258,0.277586,0.301806,0.339111
0.37,0.294325,0.450505,0.312702,0.266552,0.303899,0.328848
0.38,0.299499,0.443098,0.317761,0.260345,0.308988,0.322235
0.39,0.302757,0.428956,0.324704,0.255172,0.314168,0.314025
0.4,0.306897,0.419529,0.326167,0.245862,0.316888,0.304675
0.41,0.310097,0.407407,0.328728,0.237931,0.319753,0.295325
0.42,0.313337,0.393939,0.3335,0.230345,0.323773,0.285747
0.43,0.317549,0.383838,0.338397,0.222759,0.328294,0.277309
0.44,0.320254,0.373737,0.340611,0.215172,0.330715,0.268871
0.45,0.32597,0.367677,0.347603,0.21,0.337029,0.263398
0.46,0.32963,0.359596,0.347412,0.201379,0.338685,0.25496
0.47,0.328855,0.346128,0.347395,0.193103,0.338268,0.244926
0.48,0.336436,0.340741,0.351527,0.186552,0.344068,0.238769
0.49,0.339726,0.334007,0.355191,0.17931,0.347469,0.231699
0.5,0.343241,0.326599,0.356734,0.171724,0.349947,0.224173
0.51,0.346939,0.320539,0.361357,0.168966,0.354106,0.220296
0.52,0.352091,0.311785,0.362654,0.162069,0.357334,0.212771
0.53,0.356863,0.306397,0.367742,0.157241,0.362227,0.207754
0.54,0.359514,0.29899,0.371859,0.153103,0.365583,0.202509
0.55,0.365936,0.292256,0.374564,0.148276,0.37018,0.197035
0.56,0.367133,0.282828,0.378843,0.144483,0.372889,0.191334
0.57,0.372177,0.277441,0.382857,0.138621,0.377376,0.185633
0.58,0.370336,0.26734,0.383698,0.133103,0.376805,0.178563
0.59,0.368876,0.258586,0.384298,0.128276,0.376307,0.172406
0.6,0.370887,0.250505,0.388829,0.124828,0.379524,0.167389
0.61,0.373306,0.241077,0.390572,0.12,0.381622,0.161003
0.62,0.372973,0.232323,0.39645,0.115517,0.384181,0.155074
0.63,0.37402,0.224916,0.396319,0.111379,0.38466,0.149829
0.64,0.371396,0.216835,0.398467,0.107586,0.384242,0.144584
0.65,0.39555,0.215488,0.403718,0.104828,0.399488,0.142303
0.66,0.403871,0.210774,0.402235,0.09931,0.403085,0.137058
0.67,0.419048,0.207407,0.409158,0.095517,0.414306,0.133409
0.68,0.427526,0.196633,0.41311,0.093448,0.420463,0.128392
0.69,0.439137,0.191919,0.416,0.089655,0.427786,0.124287
0.7,0.444984,0.185185,0.423786,0.087241,0.434568,0.12041
0.71,0.454082,0.179798,0.426829,0.084483,0.44062,0.116762
0.72,0.455026,0.173737,0.434381,0.081034,0.444946,0.112429
0.73,0.459707,0.169024,0.434698,0.076897,0.447592,0.108096
0.74,0.463138,0.164983,0.430612,0.072759,0.447498,0.103991
0.75,0.473896,0.158923,0.433121,0.070345,0.454076,0.100342
0.76,0.470339,0.149495,0.434685,0.066552,0.453057,0.094641
0.77,0.464602,0.141414,0.437352,0.063793,0.451429,0.09008
0.78,0.464037,0.13468,0.440594,0.061379,0.452695,0.086203
0.79,0.471014,0.131313,0.441558,0.058621,0.456821,0.083238
0.8,0.474619,0.125926,0.452778,0.056207,0.464191,0.079818
0.81,0.481383,0.121886,0.461988,0.054483,0.472145,0.077309
0.82,0.497175,0.118519,0.46789,0.052759,0.483113,0.075029
0.83,0.494118,0.113131,0.4791,0.051379,0.486943,0.072292
0.84,0.490683,0.106397,0.477663,0.047931,0.484502,0.067731
0.85,0.485149,0.09899,0.489286,0.047241,0.487136,0.064766
0.86,0.477509,0.092929,0.494465,0.046207,0.485714,0.06203
0.87,0.481481,0.087542,0.490119,0.042759,0.48566,0.057925
0.88,0.480315,0.082155,0.493617,0.04,0.486708,0.054276
0.89,0.48374,0.080135,0.491071,0.037931,0.487234,0.052223
0.9,0.480349,0.074074,0.488372,0.036207,0.484234,0.049031
0.91,0.490741,0.07138,0.482927,0.034138,0.486936,0.04675
0.92,0.495,0.066667,0.484536,0.032414,0.489848,0.044014
0.93,0.497268,0.061279,0.497175,0.030345,0.497222,0.040821
0.94,0.488372,0.056566,0.494186,0.02931,0.491279,0.03854
0.95,0.50303,0.055892,0.503067,0.028276,0.503049,0.037628
0.96,0.503311,0.051178,0.496774,0.026552,0.5,0.034892
0.97,0.50365,0.046465,0.506757,0.025862,0.505263,0.032839
0.98,0.503817,0.044444,0.510638,0.024828,0.507353,0.031471
0.99,0.491803,0.040404,0.5,0.022759,0.496063,0.028734
1,0.518519,0.03771,0.495868,0.02069,0.50655,0.026454
