protein,TP,N,TPR,FP,neg,FPR
1D09.A,15,15,1.0,295,295,1.0
1CLI.A,42,42,1.0,299,299,1.0
1BJN.A,32,32,1.0,327,327,1.0
1CMB.A,15,15,1.0,89,89,1.0
1BYF.A,16,16,1.0,107,107,1.0
1DE4.E,21,21,1.0,78,78,1.0
1CMX.A,22,22,1.0,192,192,1.0
1BRM.A,54,54,1.0,302,302,1.0
1CP2.A,13,13,1.0,256,256,1.0
1CVS.A,17,17,1.0,112,112,1.0
1COZ.A,10,10,1.0,116,116,1.0
1BVN.T,15,15,1.0,56,56,1.0
1BKD.R,25,25,1.0,141,141,1.0
1CC0.A,9,9,1.0,178,178,1.0
1C0F.S,22,22,1.0,105,105,1.0
1DCE.A,39,39,1.0,527,527,1.0
1BML.A,26,26,1.0,224,224,1.0
1BO1.A,18,18,1.0,308,308,1.0
1CSE.I,10,10,1.0,53,53,1.0
1CQI.A,18,18,1.0,268,268,1.0
1BUH.A,12,12,1.0,275,275,1.0
1CNZ.A,43,43,1.0,320,320,1.0
