protein,vorffip
1ACB.E,0.6456143638706126
1ACB.I,0.5845701251835531
1AHW.A,0.6611054854272422
1AK4.A,0.5553665030074482
1AT3.A,0.4912167053423397
1ATN.A,0.6794338734497654
1AVA.A,0.7145667008391775
1AVW.A,0.8051010081115662
1AVX.A,0.8051010081115662
1AVZ.B,0.11651932405614727
1AY7.A,0.5730059616478331
1AY7.B,0.5853320735818569
1B34.A,0.8434451442741913
1B3A.A,0.43958876629831517
1B5E.A,0.5963575493558833
1B6C.A,0.7716625804042978
1B7B.A,0.3068910026290228
1B8A.A,0.49232903845015175
1B8J.A,0.3658252430259421
1B9M.A,0.35987200877492875
1BGX.H,0.7712998735098455
1BI7.A,0.13064393326988571
1BJN.A,0.5196865443425076
1BKD.R,0.09659304262423549
1BML.A,0.613143253601476
1BO1.A,0.14594201752380778
1BRM.A,0.5515595838304982
1BUH.A,0.6002931835014935
1BVN.T,-0.10860901604998979
1BYF.A,0.5414365129844402
1C0F.S,0.044776851683811125
1CC0.A,0.48733599180461834
1CLI.A,0.6138208460622198
1CMB.A,0.4247346237643215
1CMX.A,0.41618111633496585
1CNZ.A,0.6377289267962256
1COZ.A,0.530521290578043
1CP2.A,0.5364879346172027
1CQI.A,0.4281442854859869
1CSE.I,-0.10960858199137784
1CVS.A,0.5793324826472102
1D09.A,0.536353936122584
1DCE.A,0.8746725456297504
1DE4.E,0.8846961503231833
1DFJ.E,-0.09295539113646756
1DFJ.I,0.4069305069370942
1DHK.A,0.32991119713425004
1DOR.A,0.5443305188726246
1DOW.A,0.6662030275072639
1DQJ.A,0.5744424552741824
1E4K.C,0.32097128032376626
1E6J.H,0.4321225032556222
1EAI.C,0.05194624816493197
1EFV.A,0.6330773394426699
1EG9.A,0.02132749752130196
1EMV.A,0.3420541357082678
1ETH.A,0.6267291072018609
1EUV.A,0.9379077584711969
1EXB.E,0.32698851295313996
1F34.A,0.8298179873003895
1F60.A,0.796250150437463
1F6Y.A,0.5104234359608316
1FC2.D,0.5581846498007953
1FFW.A,0.53748384988657
1FFW.B,0.6211911858089788
1FIN.A,0.4073187372867394
1FLE.E,0.6018483979394047
1FRV.A,0.4948431718739323
1FSS.A,0.27542992412168843
1GHQ.A,-0.042345013291064305
1GLA.F,-0.09356392870229827
1GPE.A,0.2474473831990156
1GUX.A,0.4226690853638653
1GXD.A,-0.01147244729950557
1GXD.C,0.373380331513635
1H2A.L,0.03473144690498456
1HGX.A,0.168039276886942
1HJR.A,0.2638917021772214
1HLU.A,0.33631733314657686
1HSS.A,0.04844319658134831
1I2M.A,0.7652033414252766
1I8L.A,0.5057633433350829
1IRA.X,0.651414383095129
1ISA.A,0.47734004652982703
1ITB.A,0.7884698343878171
1JIW.I,0.6392377928555034
1JIW.P,0.4220141797251265
1JKM.A,0.31130097711578913
1JPS.H,0.5253885111784778
1JTD.A,0.38824318532793206
1KAC.A,0.5470305514707787
1KAC.B,0.6681531047810609
1KLU.D,0.3527263333579712
1KPE.A,0.5706064908437612
1KTZ.A,0.3921555973879831
1KXP.A,0.43427621507076813
1KXP.D,0.45249864569459713
1LFD.A,0.6539354547257462
1LUC.A,0.7866358828652495
1ML0.A,-0.04926807447602131
1MLC.A,0.5932338116355507
1MQ8.B,0.2055165870877419
1MSP.A,-0.028511240114923325
1NSE.A,0.5362213347876809
1OFU.A,0.32288688768714136
1ONE.A,0.4342009207071414
1PDK.A,0.7536287242169595
1PNK.A,0.3820345069675568
1PP2.L,0.0889194456897246
1PVH.B,0.2830522814105823
1QA9.A,-0.2062182253789722
1QA9.B,-0.17734511057473928
1QAE.A,0.02771573743173019
1QAV.A,0.7223861810479677
1QAX.A,0.47707973708004453
1QBI.A,0.029534937457160102
1QFE.A,0.32441919396219254
1QFH.A,0.5764262653441476
1QOR.A,0.6816625184771139
1REQ.A,0.48621620962322926
1RRP.A,0.5721918951032128
1S1Q.A,0.1385804656311468
1SMP.I,0.38316871919772766
1SMT.A,0.26230031826010375
1SOX.A,0.15426236492879877
1SPU.A,0.3306081545581302
1STF.E,0.08971199707858817
1T6B.X,0.15892606002558243
1T6B.Y,0.16995816451072485
1TCO.A,0.6412310979855752
1TGS.I,-0.2426307930309848
1TMQ.A,0.5862229265646056
1TMQ.B,0.24838186002020513
1TRK.A,0.45650266888691254
1TX4.A,0.7710089428700009
1UEA.A,0.8092327491875513
1US7.A,0.165615734242165
1US7.B,-0.011407401552131049
1VFB.A,0.6546538500454692
1VLT.A,0.3931529371038597
1VOK.A,0.2673326032338426
1WEJ.H,0.4907724044570309
1WGJ.A,0.5839172968786727
1WQ1.R,-0.13078709094514923
1XIK.A,0.4695724700796678
1XQS.A,0.19215183146597528
1XSO.A,0.49447653357214144
1YCS.A,0.5964511449012134
1YPI.A,0.6188786803024603
1YVE.I,0.046477225392463635
1ZBD.A,0.7831108474982937
1ZHH.A,0.251431246328707
1ZHI.A,-0.020373229507135583
1ZHI.B,0.19611613513818402
2A5T.A,0.18047899351783842
2A5T.B,0.022356481505074514
2AAI.A,0.17061515256739282
2AE2.A,0.23318749726157653
2AJF.E,0.14956921057262035
2B42.A,0.18400570899887717
2B42.B,0.47910169897221677
2B4J.C,0.2647085922682504
2BTF.A,0.722777400237787
2BTF.P,0.8236183020295363
2C0L.A,-0.0007718106726903113
2CFH.C,0.5836602955995385
2FD6.H,0.5199001887447218
2HDH.A,0.45347470128591616
2HHM.A,0.5137349051839801
2HLE.B,0.42488588490873863
2HQS.A,0.2925776083282412
2HRK.B,0.36809977653966364
2J0T.A,0.21924393341984771
2J0T.D,0.6208757731331742
2NAC.A,0.5299505251902727
2O3B.A,0.12098463907064111
2PCB.A,0.42041326314467886
2PFL.A,0.4880696250558004
2PTC.I,0.025391668753850405
2SIC.E,0.7476238756907158
2SIC.I,0.6294977054057553
2UTG.A,0.5299577334302672
2VDB.A,0.012755816637300839
2VIS.A,0.569242323063015
2VXT.H,0.49303971682492365
2W9E.H,0.550466552010336
3AAA.C,0.34403023554006124
3BIW.A,-0.034743611650748546
3BX7.A,0.4674600974010861
3BX7.C,0.17160161824591103
3C98.A,0.4768347294181632
3DAW.A,0.38672667625067425
3DAW.B,0.4773260020174509
3EO1.A,0.41435378692655067
3EOA.L,0.5258735965816665
3F1P.A,0.4239737546184077
3F1P.B,0.18453388330847365
3G6D.L,0.5924684043552443
3HHR.A,0.6243105897993871
3HI6.X,0.4530110279415121
3HMX.L,0.480754816319452
3L5W.L,0.4622144730173278
3MXW.L,0.4722809767892243
3R9A.B,0.15095345884306252
3RVW.C,0.5018603699988954
3S9D.B,0.19254534806993578
3SZK.E,0.3105472635013458
3TMK.A,0.41215173364966157
3V6Z.A,0.6433518880700054
3VLB.A,0.1804286454640562
3VLB.B,0.29739998891523683
4DN4.L,0.5773793791810938
4FQI.H,0.5436197090427292
4G6J.H,0.6709157005450473
4G6M.H,0.4805698801828136
4JCV.E,0.2788034147583704
4M76.B,0.2064844288603361
4MDH.A,0.3608463993746639
4SGB.I,-0.029617443887954616
4XXH.A,0.6980155653405079
7CEI.A,0.7204455350973931
7CEI.B,0.5905234531480936
