Protein  Threshold  TP  FP   N   Neg  TPR    FPR
1ACB.E   0          13  228  13  228  1.000  1.000
1ACB.I   0          11  52   11  52   1.000  1.000
1AHW.A   0          8   206  8   206  1.000  1.000
1AK4.A   0          9   156  9   156  1.000  1.000
1AVX.A   0          19  201  19  201  1.000  1.000
1AY7.A   0          9   87   9   87   1.000  1.000
1AY7.B   0          9   80   9   80   1.000  1.000
1BGX.H   0          16  189  16  189  1.000  1.000
1DE4.E   0          21  78   21  78   1.000  1.000
1DFJ.E   0          18  106  18  106  1.000  1.000
1DFJ.I   0          18  438  18  438  1.000  1.000
1DQJ.A   0          7   207  7   207  1.000  1.000
1E4K.C   0          12  160  12  160  1.000  1.000
1E6J.H   0          5   214  5   214  1.000  1.000
1EXB.E   0          3   88   3   88   1.000  1.000
1F34.A   0          22  303  22  303  1.000  1.000
1FC2.D   0          10  197  10  196  1.000  1.005
1FFW.A   0          8   120  8   120  1.000  1.000
1FFW.B   0          10  58   10  58   1.000  1.000
1FLE.E   0          11  218  11  218  1.000  1.000
1GHQ.A   0          5   302  5   302  1.000  1.000
1GXD.A   0          21  603  21  603  1.000  1.000
1GXD.C   0          18  174  18  174  1.000  1.000
1IRA.X   0          23  122  23  122  1.000  1.000
1JIW.I   0          15  90   15  90   1.000  1.000
1JIW.P   0          20  450  20  450  1.000  1.000
1JPS.H   0          10  203  10  203  1.000  1.000
1KAC.A   0          9   176  9   176  1.000  1.000
1KAC.B   0          12  112  12  112  1.000  1.000
1KLU.D   0          11  219  11  219  1.000  1.000
Protein  Threshold  TP  FP   N   Neg  TPR    FPR
1ACB.E   0.05       11  90   13  228  .846   .394
1ACB.I   0.05       11  16   11  52   1.000  .307
1AHW.A   0.05       8   65   8   206  1.000  .315
1AK4.A   0.05       7   59   9   156  .777   .378
1AVX.A   0.05       14  44   19  201  .736   .218
1AY7.A   0.05       8   38   9   87   .888   .436
1AY7.B   0.05       8   17   9   80   .888   .212
1BGX.H   0.05       14  62   16  189  .875   .328
1DE4.E   0.05       19  31   21  78   .904   .397
1DFJ.E   0.05       7   36   18  106  .388   .339
1DFJ.I   0.05       17  41   18  438  .944   .093
1DQJ.A   0.05       7   74   7   207  1.000  .357
1E4K.C   0.05       12  62   12  160  1.000  .387
1E6J.H   0.05       5   50   5   214  1.000  .233
1EXB.E   0.05       3   60   3   88   1.000  .681
1F34.A   0.05       18  88   22  303  .818   .290
1FC2.D   0.05       9   76   10  196  .900   .387
1FFW.A   0.05       7   49   8   120  .875   .408
1FFW.B   0.05       9   43   10  58   .900   .741
1FLE.E   0.05       9   114  11  218  .818   .522
1GHQ.A   0.05       1   135  5   302  .200   .447
1GXD.A   0.05       4   94   21  603  .190   .155
1GXD.C   0.05       16  51   18  174  .888   .293
1IRA.X   0.05       21  36   23  122  .913   .295
1JIW.I   0.05       13  76   15  90   .866   .844
1JIW.P   0.05       15  118  20  450  .750   .262
1JPS.H   0.05       10  62   10  203  1.000  .305
1KAC.A   0.05       9   83   9   176  1.000  .471
1KAC.B   0.05       9   31   12  112  .750   .276
1KLU.D   0.05       9   38   11  219  .818   .173
Protein     Threshold  TP        FP   N   Neg  TPR    FPR
1ACB.E      0.05       11        90   13  228  .846   .394
1ACB.I      0.05       11        16   11  52   1.000  .307
1AHW.A      0.05       8         65   8   206  1.000  .315
1AK4.A      0.05       7         59   9   156  .777   .378
1AVX.A      0.05       14        44   19  201  .736   .218
1AY7.A      0.05       8         38   9   87   .888   .436
1AY7.B      0.05       8         17   9   80   .888   .212
1BGX.H      0.05       14        62   16  189  .875   .328
1DE4.E      0.05       19        31   21  78   .904   .397
1DFJ.E      0.05       7         36   18  106  .388   .339
1DFJ.I      0.05       17        41   18  438  .944   .093
1DQJ.A      0.05       7         74   7   207  1.000  .357
1E4K.C      0.05       12        62   12  160  1.000  .387
1E6J.H      0.05       5         50   5   214  1.000  .233
1EXB.E      0.05       3         60   3   88   1.000  .681
1F34.A      0.05       18        88   22  303  .818   .290
1FC2.D      0.05       9         76   10  196  .900   .387
1FFW.A      0.05       7         49   8   120  .875   .408
1FFW.B      0.05       9         43   10  58   .900   .741
1FLE.E      0.05       9         114  11  218  .818   .522
1GHQ.A      0.05       1         135  5   302  .200   .447
1GXD.A      0.05       4         94   21  603  .190   .155
1GXD.C      0.05       16        51   18  174  .888   .293
1IRA.X      0.05       21        36   23  122  .913   .295
1JIW.I      0.05       13        76   15  90   .866   .844
1JIW.P      0.05       15        118  20  450  .750   .262
1JPS.H      0.05       10        62   10  203  1.000  .305
1KAC.A      0.05       9         83   9   176  1.000  .471
1KAC.B      0.05       9         31   12  112  .750   .276
1KLU.D      0.05       9         38   11  219  .818   .173
Global_TPR  =          .809
Global_FPR  =          .315
avg_TPR     =          0.804258
avg_FPR     =          0.353032
Protein  Threshold  TP  FP  N   Neg  TPR    FPR
1ACB.E   0.1        11  70  13  228  .846   .307
1ACB.I   0.1        11  8   11  52   1.000  .153
1AHW.A   0.1        8   50  8   206  1.000  .242
1AK4.A   0.1        7   43  9   156  .777   .275
1AVX.A   0.1        14  28  19  201  .736   .139
1AY7.A   0.1        8   33  9   87   .888   .379
1AY7.B   0.1        7   10  9   80   .777   .125
1BGX.H   0.1        13  50  16  189  .812   .264
1DE4.E   0.1        18  17  21  78   .857   .217
1DFJ.E   0.1        0   24  18  106  0      .226
1DFJ.I   0.1        15  26  18  438  .833   .059
1DQJ.A   0.1        7   56  7   207  1.000  .270
1E4K.C   0.1        12  43  12  160  1.000  .268
1E6J.H   0.1        5   42  5   214  1.000  .196
1EXB.E   0.1        3   54  3   88   1.000  .613
1F34.A   0.1        16  75  22  303  .727   .247
1FC2.D   0.1        9   64  10  196  .900   .326
1FFW.A   0.1        5   35  8   120  .625   .291
1FFW.B   0.1        9   43  10  58   .900   .741
1FLE.E   0.1        9   99  11  218  .818   .454
1GHQ.A   0.1        1   94  5   302  .200   .311
1GXD.A   0.1        4   62  21  603  .190   .102
1GXD.C   0.1        15  35  18  174  .833   .201
1IRA.X   0.1        19  24  23  122  .826   .196
1JIW.I   0.1        13  73  15  90   .866   .811
1JIW.P   0.1        15  86  20  450  .750   .191
1JPS.H   0.1        9   53  10  203  .900   .261
1KAC.A   0.1        8   60  9   176  .888   .340
1KAC.B   0.1        8   14  12  112  .666   .125
1KLU.D   0.1        7   27  11  219  .636   .123
Protein     Threshold  TP        FP  N   Neg  TPR    FPR
1ACB.E      0.1        11        70  13  228  .846   .307
1ACB.I      0.1        11        8   11  52   1.000  .153
1AHW.A      0.1        8         50  8   206  1.000  .242
1AK4.A      0.1        7         43  9   156  .777   .275
1AVX.A      0.1        14        28  19  201  .736   .139
1AY7.A      0.1        8         33  9   87   .888   .379
1AY7.B      0.1        7         10  9   80   .777   .125
1BGX.H      0.1        13        50  16  189  .812   .264
1DE4.E      0.1        18        17  21  78   .857   .217
1DFJ.E      0.1        0         24  18  106  0      .226
1DFJ.I      0.1        15        26  18  438  .833   .059
1DQJ.A      0.1        7         56  7   207  1.000  .270
1E4K.C      0.1        12        43  12  160  1.000  .268
1E6J.H      0.1        5         42  5   214  1.000  .196
1EXB.E      0.1        3         54  3   88   1.000  .613
1F34.A      0.1        16        75  22  303  .727   .247
1FC2.D      0.1        9         64  10  196  .900   .326
1FFW.A      0.1        5         35  8   120  .625   .291
1FFW.B      0.1        9         43  10  58   .900   .741
1FLE.E      0.1        9         99  11  218  .818   .454
1GHQ.A      0.1        1         94  5   302  .200   .311
1GXD.A      0.1        4         62  21  603  .190   .102
1GXD.C      0.1        15        35  18  174  .833   .201
1IRA.X      0.1        19        24  23  122  .826   .196
1JIW.I      0.1        13        73  15  90   .866   .811
1JIW.P      0.1        15        86  20  450  .750   .191
1JPS.H      0.1        9         53  10  203  .900   .261
1KAC.A      0.1        8         60  9   176  .888   .340
1KAC.B      0.1        8         14  12  112  .666   .125
1KLU.D      0.1        7         27  11  219  .636   .123
Global_TPR  =          .746
Global_FPR  =          .239
avg_TPR     =          0.750032
avg_FPR     =          0.272677
Protein  Threshold  TP  FP  N   Neg  TPR    FPR
