protein,TP,N,TPR,FP,neg,FPR
2SIC.E,17,17,1.0,258,258,1.0
2A5T.A,10,10,1.0,261,261,1.0
1DFJ.I,18,18,1.0,438,438,1.0
2BTF.A,18,18,1.0,355,355,1.0
1KLU.D,11,11,1.0,219,219,1.0
4JCV.E,11,11,1.0,203,203,1.0
4G6M.H,14,14,1.0,419,419,1.0
3R9A.B,17,17,1.0,272,272,1.0
2B42.B,21,21,1.0,163,163,1.0
1KAC.A,9,9,1.0,176,176,1.0
1GXD.C,18,18,1.0,174,174,1.0
2FD6.H,14,14,1.0,406,406,1.0
1DE4.E,21,21,1.0,78,78,1.0
3G6D.L,15,15,1.0,418,418,1.0
3SZK.F,11,11,1.0,130,130,1.0
1JIW.I,15,15,1.0,90,90,1.0
1JIW.P,20,20,1.0,450,450,1.0
1ACB.I,11,11,1.0,52,52,1.0
1GHQ.A,5,5,1.0,302,302,1.0
1VFB.A,15,15,1.0,208,208,1.0
1VFB.A,15,15,1.0,208,208,1.0
3SZK.E,12,12,1.0,111,111,1.0
2B42.A,19,19,1.0,345,345,1.0
1KAC.B,12,12,1.0,112,112,1.0
1ZHH.A,13,13,1.0,331,331,1.0
3EO1.A,12,12,1.0,419,419,1.0
2W9E.H,17,17,1.0,410,410,1.0
1DQJ.A,18,18,1.0,406,406,1.0
3EOA.L,12,12,1.0,417,417,1.0
1FC2.D,10,10,1.0,196,196,1.0
2A5T.B,14,14,1.0,262,262,1.0
2C0L.A,19,19,1.0,273,273,1.0
1TMQ.A,18,18,1.0,452,452,1.0
1US7.A,7,7,1.0,199,199,1.0
4M76.B,12,12,1.0,167,167,1.0
2HLE.B,13,13,1.0,120,120,1.0
2B4J.C,8,8,1.0,74,74,1.0
1AVX.A,19,19,1.0,201,201,1.0
2CFH.C,10,10,1.0,139,139,1.0
1XQS.A,23,23,1.0,241,241,1.0
3L5W.L,10,10,1.0,426,426,1.0
1T6B.Y,14,14,1.0,156,156,1.0
1ML0.A,9,9,1.0,362,362,1.0
1OFU.A,12,12,1.0,295,295,1.0
1ZHI.B,8,8,1.0,117,117,1.0
1F34.A,22,22,1.0,303,303,1.0
2AJF.E,11,11,1.0,163,163,1.0
1ZHI.A,9,9,1.0,186,186,1.0
3S9D.B,12,12,1.0,168,168,1.0
1US7.B,8,8,1.0,185,185,1.0
1E6J.H,7,7,1.0,422,422,1.0
1TMQ.B,15,15,1.0,102,102,1.0
2BTF.P,18,18,1.0,121,121,1.0
3BX7.C,16,16,1.0,104,104,1.0
1E4K.C,12,12,1.0,160,160,1.0
2VDB.A,11,11,1.0,563,563,1.0
1KXP.A,20,20,1.0,329,329,1.0
1FLE.E,11,11,1.0,218,218,1.0
1AK4.A,9,9,1.0,156,156,1.0
3MXW.L,14,14,1.0,412,412,1.0
2VXT.H,13,13,1.0,403,403,1.0
4DN4.L,14,14,1.0,413,413,1.0
2VIS.A,12,12,1.0,419,419,1.0
1QA9.A,13,13,1.0,89,89,1.0
1MQ8.B,12,12,1.0,165,165,1.0
3DAW.B,16,16,1.0,124,124,1.0
3HMX.L,16,16,1.0,415,415,1.0
3F1P.B,18,18,1.0,93,93,1.0
3AAA.C,11,11,1.0,106,106,1.0
3F1P.A,13,13,1.0,101,101,1.0
3BX7.A,16,16,1.0,157,157,1.0
3DAW.A,20,20,1.0,352,352,1.0
1QA9.B,15,15,1.0,80,80,1.0
1MLC.A,13,13,1.0,419,419,1.0
4G6J.H,16,16,1.0,414,414,1.0
1T6B.X,12,12,1.0,664,664,1.0
1JPS.H,16,16,1.0,410,410,1.0
2J0T.A,18,18,1.0,143,143,1.0
4FQI.H,11,11,1.0,402,402,1.0
1AHW.A,20,20,1.0,408,408,1.0
2HQS.A,17,17,1.0,395,395,1.0
1FFW.A,8,8,1.0,120,120,1.0
3HI6.X,15,15,1.0,411,411,1.0
7CEI.B,10,10,1.0,116,116,1.0
1GXD.A,21,21,1.0,603,603,1.0
3V6Z.A,21,21,1.0,419,419,1.0
1ACB.E,13,13,1.0,228,228,1.0
1AY7.A,9,9,1.0,87,87,1.0
1BGX.H,31,31,1.0,384,384,1.0
1KXP.D,26,26,1.0,412,412,1.0
3VLB.A,15,15,1.0,389,389,1.0
1KTZ.A,7,7,1.0,75,75,1.0
3BIW.A,9,9,1.0,524,524,1.0
1EXB.E,3,3,1.0,88,88,1.0
2O3B.A,15,15,1.0,226,226,1.0
2SIC.I,11,11,1.0,96,96,1.0
3VLB.B,17,17,1.0,201,201,1.0
1DFJ.E,18,18,1.0,106,106,1.0
1IRA.X,23,23,1.0,122,122,1.0
1AY7.B,9,9,1.0,80,80,1.0
2HRK.B,8,8,1.0,113,113,1.0
2J0T.D,11,11,1.0,113,113,1.0
7CEI.A,13,13,1.0,74,74,1.0
1FFW.B,10,10,1.0,58,58,1.0
1PVH.B,8,8,1.0,161,161,1.0
3RVW.C,13,13,1.0,416,416,1.0
1WEJ.H,11,11,1.0,426,426,1.0
1S1Q.A,11,11,1.0,126,126,1.0
1DOR.A,25,25,1.0,286,286,1.0
1YVE.I,25,25,1.0,488,488,1.0
1DOW.A,14,14,1.0,186,186,1.0
1NSE.A,39,39,1.0,377,377,1.0
1EMV.A,13,13,1.0,70,70,1.0
1CP2.A,13,13,1.0,256,256,1.0
1RRP.A,32,32,1.0,172,172,1.0
1XIK.A,37,37,1.0,303,303,1.0
1BKD.R,25,25,1.0,141,141,1.0
1TCO.A,21,21,1.0,331,331,1.0
1JKM.A,16,16,1.0,342,342,1.0
1I8L.A,8,8,1.0,191,191,1.0
1QBI.A,17,17,1.0,417,417,1.0
1QFH.A,37,37,1.0,175,175,1.0
1QFH.A,37,37,1.0,175,175,1.0
1D09.A,15,15,1.0,295,295,1.0
1B6C.A,15,15,1.0,92,92,1.0
1CMX.A,22,22,1.0,192,192,1.0
1ETH.A,14,14,1.0,434,434,1.0
3C98.A,27,27,1.0,529,529,1.0
1BVN.T,15,15,1.0,56,56,1.0
1REQ.A,64,64,1.0,663,663,1.0
1STF.E,12,12,1.0,199,199,1.0
4SGB.I,6,6,1.0,45,45,1.0
1ONE.A,34,34,1.0,402,402,1.0
2NAC.A,56,56,1.0,318,318,1.0
1BJN.A,32,32,1.0,327,327,1.0
1CNZ.A,43,43,1.0,320,320,1.0
1SMP.I,12,12,1.0,88,88,1.0
1B3A.A,12,12,1.0,55,55,1.0
1B34.A,17,17,1.0,63,63,1.0
1AT3.A,15,15,1.0,202,202,1.0
1ISA.A,9,9,1.0,183,183,1.0
1MSP.A,12,12,1.0,112,112,1.0
1CMB.A,15,15,1.0,89,89,1.0
1I2M.A,24,24,1.0,141,141,1.0
1TRK.A,67,67,1.0,611,611,1.0
3HHR.A,21,21,1.0,163,163,1.0
1SPU.A,112,112,1.0,605,605,1.0
1LFD.A,11,11,1.0,76,76,1.0
1VOK.A,19,19,1.0,173,173,1.0
1AVW.A,19,19,1.0,201,201,1.0
1BRM.A,54,54,1.0,302,302,1.0
1UEA.A,22,22,1.0,144,144,1.0
1CSE.I,10,10,1.0,53,53,1.0
1ITB.A,25,25,1.0,128,128,1.0
1SMT.A,22,22,1.0,76,76,1.0
1EG9.A,31,31,1.0,416,416,1.0
1CVS.A,17,17,1.0,112,112,1.0
1FRV.A,59,59,1.0,203,203,1.0
1BI7.A,25,25,1.0,244,244,1.0
1TX4.A,17,17,1.0,179,179,1.0
1B5E.A,36,36,1.0,205,205,1.0
1F6Y.A,19,19,1.0,239,239,1.0
4MDH.A,26,26,1.0,307,307,1.0
1HGX.A,18,18,1.0,146,146,1.0
2AE2.A,18,18,1.0,241,241,1.0
1C0F.S,22,22,1.0,105,105,1.0
1HLU.A,11,11,1.0,362,362,1.0
1DHK.A,26,26,1.0,469,469,1.0
1WGJ.A,11,11,1.0,271,271,1.0
4XXH.A,19,19,1.0,236,236,1.0
2AAI.A,25,25,1.0,242,242,1.0
2PFL.A,23,23,1.0,736,736,1.0
1QAE.A,13,13,1.0,227,227,1.0
1WQ1.R,14,14,1.0,152,152,1.0
1BML.A,26,26,1.0,224,224,1.0
1GUX.A,13,13,1.0,164,164,1.0
1EUV.A,27,27,1.0,194,194,1.0
1GPE.A,28,28,1.0,559,559,1.0
1CC0.A,9,9,1.0,178,178,1.0
1PDK.A,28,28,1.0,187,187,1.0
1DCE.A,39,39,1.0,527,527,1.0
2PTC.I,8,8,1.0,50,50,1.0
1TGS.I,13,13,1.0,42,42,1.0
1QFE.A,7,7,1.0,245,245,1.0
1JTD.A,12,12,1.0,250,250,1.0
1B9M.A,41,41,1.0,214,214,1.0
2HHM.A,21,21,1.0,251,251,1.0
1VLT.A,14,14,1.0,128,128,1.0
1CLI.A,42,42,1.0,299,299,1.0
1YCS.A,11,11,1.0,180,180,1.0
1SOX.A,24,24,1.0,439,439,1.0
1GLA.F,7,7,1.0,154,154,1.0
1EFV.A,59,59,1.0,253,253,1.0
1FIN.A,29,29,1.0,269,269,1.0
