protein  tp  fp  interface_residues  F_Score
1ACB.E   5   8   13                  .384
1ACB.I   9   2   11                  .818
1AHW.A   0   8   8                   0
1AK4.A   4   5   9                   .444
1AVX.A   9   10  19                  .473
1AY7.A   4   5   9                   .444
1AY7.B   1   8   9                   .111
1BGX.H   5   11  16                  .312
1DE4.E   10  11  21                  .476
1DFJ.E   3   15  18                  .166
1DFJ.I   9   9   18                  .500
1DQJ.A   0   7   7                   0
1E4K.C   2   10  12                  .166
1E6J.H   1   4   5                   .200
1EXB.E   2   1   3                   .666
1F34.A   10  12  22                  .454
1FC2.D   0   10  10                  0
1FFW.A   2   6   8                   .250
1FFW.B   5   5   10                  .500
1FLE.E   0   11  11                  0
1GHQ.A   0   5   5                   0
1GXD.A   2   19  21                  .095
1GXD.C   6   12  18                  .333
1IRA.X   13  10  23                  .565
1JIW.I   5   10  15                  .333
1JIW.P   8   12  20                  .400
1JPS.H   1   9   10                  .100
1KAC.A   4   5   9                   .444
1KAC.B   3   9   12                  .250
1KLU.D   2   9   11                  .181
Global F_score = .326
Average F_score = 0.283281
