DBmark_proteins,TP,Interface_residues,F_Score
2SIC.E,2,17,0.117647
2A5T.A,6,10,0.6
1DFJ.I,12,18,0.666667
2BTF.A,11,18,0.611111
1KLU.D,7,11,0.636364
4JCV.E,4,11,0.363636
4G6M.H,7,14,0.5
3R9A.B,0,17,0
2B42.B,9,21,0.428571
1KAC.A,0,9,0
1GXD.C,11,18,0.611111
2FD6.H,8,14,0.571429
1DE4.E,15,21,0.714286
3G6D.L,9,15,0.6
3SZK.F,5,11,0.454545
1JIW.I,11,15,0.733333
1JIW.P,9,20,0.45
1ACB.I,6,11,0.545455
1GHQ.A,0,5,0
1VFB.A,12,15,0.8
3SZK.E,4,12,0.333333
2B42.A,10,19,0.526316
1KAC.B,7,12,0.583333
1ZHH.A,0,13,0
3EO1.A,6,12,0.5
2W9E.H,12,17,0.705882
1DQJ.A,14,18,0.777778
3EOA.L,7,12,0.583333
1FC2.D,0,10,0
2A5T.B,1,14,0.071429
2C0L.A,8,19,0.421053
1TMQ.A,6,18,0.333333
1US7.A,1,7,0.142857
4M76.B,3,12,0.25
2HLE.B,7,13,0.538462
2B4J.C,0,8,0
1AVX.A,12,19,0.631579
2CFH.C,4,10,0.4
1XQS.A,9,23,0.391304
3L5W.L,7,10,0.7
1T6B.Y,3,14,0.214286
1ML0.A,0,9,0
1OFU.A,4,12,0.333333
1ZHI.B,3,8,0.375
1F34.A,5,23,0.217391
2AJF.E,4,11,0.363636
1ZHI.A,2,9,0.222222
3S9D.B,1,12,0.083333
1US7.B,0,8,0
1E6J.H,5,7,0.714286
4M76.A,0,7,0
1TMQ.B,5,15,0.333333
2BTF.P,8,18,0.444444
3BX7.C,10,16,0.625
1E4K.C,7,12,0.583333
2VDB.A,0,11,0
1KXP.A,6,20,0.3
1FLE.E,1,11,0.090909
1AK4.A,2,9,0.222222
3MXW.L,5,14,0.357143
2VXT.H,6,13,0.461538
4DN4.L,10,14,0.714286
2VIS.A,10,12,0.833333
1QA9.A,2,13,0.153846
1MQ8.B,4,12,0.333333
3DAW.B,11,16,0.6875
3HMX.L,11,16,0.6875
3F1P.B,10,18,0.555556
3AAA.C,9,11,0.818182
3F1P.A,8,13,0.615385
3BX7.A,10,16,0.625
3DAW.A,8,20,0.4
1QA9.B,2,15,0.133333
1MLC.A,8,13,0.615385
