protein,TP,N,TPR,FP,neg,FPR
1HLU.A,11,11,1.0,362,362,1.0
1HJR.A,15,15,1.0,143,143,1.0
1GLA.F,7,7,1.0,154,154,1.0
1IRA.X,23,23,1.0,122,122,1.0
1FLE.E,11,11,1.0,218,218,1.0
1ISA.A,9,9,1.0,183,183,1.0
1JIW.I,15,15,1.0,90,90,1.0
1GPE.A,28,28,1.0,559,559,1.0
1H2A.L,55,55,1.0,479,479,1.0
1HGX.A,18,18,1.0,146,146,1.0
1I8L.A,8,8,1.0,191,191,1.0
1GXD.A,21,21,1.0,603,603,1.0
1I2M.A,24,24,1.0,141,141,1.0
1FSS.A,15,15,1.0,517,517,1.0
1GXD.C,18,18,1.0,174,174,1.0
1GUX.A,13,13,1.0,164,164,1.0
1FRV.A,59,59,1.0,203,203,1.0
1JIW.P,20,20,1.0,450,450,1.0
1ITB.A,25,25,1.0,128,128,1.0
1GHQ.A,5,5,1.0,302,302,1.0
1JKM.A,16,16,1.0,342,342,1.0
1HSS.A,15,15,1.0,96,96,1.0
