protein,TP,N,TPR,FP,neg,FPR
2AJF.E,11,11,1.0,163,163,1.0
2BTF.P,18,18,1.0,121,121,1.0
2AE2.A,18,18,1.0,241,241,1.0
2A5T.A,10,10,1.0,261,261,1.0
2HLE.B,13,13,1.0,120,120,1.0
2NAC.A,56,56,1.0,318,318,1.0
2A5T.B,14,14,1.0,262,262,1.0
2BTF.A,18,18,1.0,355,355,1.0
2AAI.A,25,25,1.0,242,242,1.0
2O3B.A,15,15,1.0,226,226,1.0
2HQS.A,17,17,1.0,395,395,1.0
7CEI.B,10,10,1.0,117,117,1.0
2HRK.B,8,8,1.0,113,113,1.0
2J0T.D,11,11,1.0,113,113,1.0
2HHM.A,21,21,1.0,251,251,1.0
2B4J.C,8,8,1.0,74,74,1.0
2J0T.A,18,18,1.0,143,143,1.0
2CFH.C,10,10,1.0,139,139,1.0
2B42.B,21,21,1.0,163,163,1.0
2FD6.H,14,14,1.0,406,406,1.0
2HDH.A,16,16,1.0,270,270,1.0
2B42.A,19,19,1.0,345,345,1.0
2C0L.A,19,19,1.0,273,273,1.0
