protein,TP,N,TPR,FP,neg,FPR
4XXH.A,19,19,1.0,236,236,1.0
3V6Z.A,21,21,1.0,419,419,1.0
4FQI.H,11,11,1.0,402,402,1.0
3S9D.B,12,12,1.0,168,168,1.0
3VLB.B,17,17,1.0,201,201,1.0
3VLB.A,15,15,1.0,389,389,1.0
3RVW.C,13,13,1.0,416,416,1.0
3L5W.L,10,10,1.0,426,426,1.0
3SZK.F,11,11,1.0,130,130,1.0
3TMK.A,11,11,1.0,205,205,1.0
3SZK.E,12,12,1.0,111,111,1.0
4JCV.E,11,11,1.0,203,203,1.0
4MDH.A,26,26,1.0,307,307,1.0
3HMX.L,16,16,1.0,415,415,1.0
3R9A.B,17,17,1.0,272,272,1.0
4DN4.L,14,14,1.0,413,413,1.0
4G6M.H,14,14,1.0,419,419,1.0
3HHR.A,21,21,1.0,163,163,1.0
4SGB.I,6,6,1.0,45,45,1.0
4M76.B,12,12,1.0,167,167,1.0
3MXW.L,14,14,1.0,412,412,1.0
3HI6.X,15,15,1.0,411,411,1.0
4G6J.H,16,16,1.0,414,414,1.0
