protein,TP,N,TPR,FP,neg,FPR
1EMV.A,13,13,1.0,70,70,1.0
1F6Y.A,19,19,1.0,239,239,1.0
1EUV.A,27,27,1.0,194,194,1.0
1EXB.E,3,3,1.0,88,88,1.0
1EAI.C,10,10,1.0,51,51,1.0
1DQJ.A,18,18,1.0,406,406,1.0
1DOR.A,25,25,1.0,286,286,1.0
1DFJ.I,18,18,1.0,438,438,1.0
1FC2.D,10,10,1.0,196,196,1.0
1DOW.A,14,14,1.0,186,186,1.0
1E6J.H,7,7,1.0,422,422,1.0
1F34.A,22,22,1.0,303,303,1.0
1FIN.A,29,29,1.0,269,269,1.0
1F60.A,28,28,1.0,412,412,1.0
1DFJ.E,18,18,1.0,106,106,1.0
1FFW.A,8,8,1.0,120,120,1.0
1EFV.A,59,59,1.0,253,253,1.0
1FFW.B,10,10,1.0,58,58,1.0
1EG9.A,31,31,1.0,416,416,1.0
1DHK.A,26,26,1.0,469,469,1.0
1E4K.C,12,12,1.0,160,160,1.0
1ETH.A,14,14,1.0,434,434,1.0
