protein,TP,N,TPR,FP,neg,FPR
1S1Q.A,11,11,1.0,126,126,1.0
1QAV.A,13,13,1.0,77,77,1.0
1TGS.I,13,13,1.0,42,42,1.0
1QFE.A,7,7,1.0,245,245,1.0
1QOR.A,21,21,1.0,305,305,1.0
1SMT.A,22,22,1.0,76,76,1.0
1T6B.Y,14,14,1.0,156,156,1.0
1STF.E,12,12,1.0,199,199,1.0
1REQ.A,64,64,1.0,663,663,1.0
1T6B.X,12,12,1.0,664,664,1.0
1SOX.A,24,24,1.0,439,439,1.0
1RRP.A,32,32,1.0,172,172,1.0
1QFH.A,37,37,1.0,175,175,1.0
1QBI.A,17,17,1.0,417,417,1.0
1QA9.B,15,15,1.0,80,80,1.0
1SMP.I,12,12,1.0,88,88,1.0
1QA9.A,13,13,1.0,89,89,1.0
1TMQ.A,18,18,1.0,452,452,1.0
1QAX.A,78,78,1.0,347,347,1.0
1SPU.A,112,112,1.0,605,605,1.0
1TCO.A,21,21,1.0,331,331,1.0
1QAE.A,13,13,1.0,227,227,1.0
