protein,TP,N,TPR,FP,neg,FPR
1AT3.A,15,15,1.0,202,202,1.0
1ATN.A,16,16,1.0,355,355,1.0
1B5E.A,36,36,1.0,205,205,1.0
1B8J.A,60,60,1.0,388,388,1.0
1AVW.A,19,19,1.0,201,201,1.0
1B7B.A,28,28,1.0,279,279,1.0
1AHW.A,20,20,1.0,408,408,1.0
1ACB.E,13,13,1.0,228,228,1.0
1B3A.A,12,12,1.0,55,55,1.0
1ACB.I,11,11,1.0,52,52,1.0
1AVZ.B,11,11,1.0,92,92,1.0
1AVX.A,19,19,1.0,201,201,1.0
1B6C.A,15,15,1.0,92,92,1.0
1AVA.A,17,17,1.0,386,386,1.0
1BI7.A,25,25,1.0,244,244,1.0
1B34.A,17,17,1.0,63,63,1.0
1AY7.A,9,9,1.0,87,87,1.0
1AK4.A,9,9,1.0,156,156,1.0
1B8A.A,56,56,1.0,382,382,1.0
1AY7.B,9,9,1.0,80,80,1.0
1B9M.A,41,41,1.0,214,214,1.0
1BGX.H,31,31,1.0,384,384,1.0
