protein,vorffip
1ACB.E,0.1904761904761905
1ACB.I,0.25806451612903225
1AHW.A,0.21818181818181817
1AK4.A,0.5142857142857142
1AT3.A,0.046511627906976744
1ATN.A,0.6122448979591837
1AVA.A,0.6938775510204082
1AVW.A,0.2127659574468085
1AVX.A,0.1702127659574468
1AVZ.B,0
1AY7.A,0.5625
1AY7.B,0.5806451612903226
1B34.A,0.46153846153846156
1B3A.A,0.36363636363636365
1B5E.A,0.676923076923077
1B6C.A,0.7894736842105263
1B7B.A,0.1694915254237288
1B8A.A,0.5054945054945055
1B8J.A,0.3870967741935483
1B9M.A,0.1111111111111111
1BGX.H,0.12121212121212123
1BI7.A,0.1818181818181818
1BJN.A,0.1875
1BKD.R,0.8627450980392156
1BML.A,0
1BO1.A,0.16
1BRM.A,0.3953488372093023
1BUH.A,0.13953488372093023
1BVN.T,0
1BYF.A,0.35000000000000003
1C0F.S,0.8695652173913043
1CC0.A,0.1142857142857143
1CLI.A,0.2972972972972973
1CMB.A,0.5128205128205129
1CMX.A,0.08
1CNZ.A,0.6666666666666666
1COZ.A,0.5294117647058825
1CP2.A,0.5238095238095238
1CQI.A,0.45833333333333326
1CSE.I,0.4
1CVS.A,0.048780487804878044
1D09.A,0.5333333333333333
1DCE.A,0.33766233766233766
1DE4.E,0.909090909090909
1DFJ.E,0.09302325581395349
1DFJ.I,0.41509433962264153
1DHK.A,0.16666666666666669
1DOR.A,0.5818181818181818
1DOW.A,0.046511627906976744
1DQJ.A,0.22641509433962265
1E4K.C,0.358974358974359
1E6J.H,0.23809523809523808
1EAI.C,0.5806451612903225
1EFV.A,0.17777777777777778
1EG9.A,0.09230769230769231
1EMV.A,0.3428571428571428
1ETH.A,0.5833333333333334
1EUV.A,0
1EXB.E,0
1F34.A,0.5660377358490567
1F60.A,0.4838709677419355
1F6Y.A,0.5416666666666666
1FC2.D,0
1FFW.A,0.25
1FFW.B,0
1FIN.A,0.4333333333333333
1FLE.E,0
1FRV.A,0.22471910112359553
1FSS.A,0.16
1GHQ.A,0
1GLA.F,0
1GPE.A,0.3174603174603175
1GUX.A,0
1GXD.A,0
1GXD.C,0.43478260869565216
1H2A.L,0.17777777777777778
1HGX.A,0.09090909090909093
1HJR.A,0.3414634146341463
1HLU.A,0.09090909090909091
1HSS.A,0.10256410256410255
1I2M.A,0.12000000000000001
1I8L.A,0.4444444444444445
1IRA.X,0.24999999999999994
1ISA.A,0.4444444444444444
1ITB.A,0.8235294117647058
1JIW.I,0.6842105263157895
1JIW.P,0.43636363636363634
1JKM.A,0.125
1JPS.H,0.1568627450980392
1JTD.A,0.04878048780487805
1KAC.A,0
1KAC.B,0.05555555555555555
1KLU.D,0.30769230769230765
1KPE.A,0.1754385964912281
1KTZ.A,0.06666666666666667
1KXP.A,0
1KXP.D,0.03225806451612904
1LFD.A,0.060606060606060615
1LUC.A,0.8387096774193549
1ML0.A,0
