Protein,surface_res,cutoff_res
1COZ.A,102,24
1TX4.A,145,27
1SOX.A,333,35
1GUX.A,137,27
1AOM.A,286,33
2AE2.A,196,30
4MDH.A,239,32
2NAC.A,275,33
1QAV.A,76,22
1B7B.A,230,31
2PTC.I,53,20
1TRK.A,429,38
1AK4.A,119,26
1STF.E,148,27
1QFH.A,180,29
1B34.A,70,22
1CNZ.A,253,32
3TMK.A,167,28
1CC0.A,130,26
1H2A.L,349,35
1DOW.A,179,29
1MSP.A,107,25
1BML.A,171,29
1FIN.A,223,31
1HLU.A,277,33
1HGX.A,125,26
1AVW.A,159,28
1A0F.A,155,28
1JKM.A,244,32
1RRP.A,162,28
1B8A.A,333,35
1YVE.I,331,35
1AJS.A,286,33
1C0F.S,101,24
1EAI.C,60,21
2SIC.I,94,24
1CSE.I,55,20
1TMQ.A,306,34
1BRM.A,261,32
1UEA.A,133,26
1B8J.A,289,33
1TAB.I,35,18
1TGS.I,49,20
1I2M.A,126,26
1DOR.A,213,30
1LUC.A,239,32
1WQ1.R,120,26
1A4I.A,207,30
1NSE.A,313,34
1KAC.A,143,27
1QBI.A,298,34
1A4Y.A,299,34
2UTG.A,66,21
1BKD.R,127,26
1BO1.A,252,32
1PDK.A,170,28
1DCE.A,433,38
1YCS.A,153,28
1CP2.A,179,29
1QAX.A,327,35
1KPE.A,93,24
1BUH.A,221,31
1LFD.A,74,22
1ITB.A,119,26
1BVN.T,61,21
1B6C.A,88,23
1EFV.A,228,31
2HDH.A,226,31
1I8L.A,164,28
2AAI.A,199,30
1D09.A,206,30
1F34.A,235,31
1FSS.A,341,35
1QOR.A,235,31
1SMP.I,81,23
1CLI.A,246,32
4XXH.A,187,29
1AFW.A,240,32
1GPE.A,351,35
1B9M.A,217,31
1SPU.A,514,40
1AGR.E,100,24
4SGB.I,48,19
1HJR.A,126,26
2PCB.A,224,31
1AVA.A,259,32
1ZBD.A,131,26
1VOK.A,149,27
1TCO.A,232,31
1F60.A,319,34
1QFE.A,170,28
1HSS.A,92,24
1QBK.B,710,44
1BI7.A,202,30
1EUV.A,158,28
3C98.A,400,37
1AQ6.A,178,29
1SMT.A,90,24
1B5E.A,187,29
1CMB.A,94,24
1PP2.L,105,25
1AHJ.A,159,28
1DHK.A,321,34
1F6Y.A,183,29
1AVZ.B,89,23
1AJ8.A,250,32
1YPI.A,179,29
1EMV.A,73,22
1ATN.A,270,33
1ETH.A,302,34
2PFL.A,444,38
1WGJ.A,207,30
1CVS.A,100,24
1VLT.A,120,26
1ONE.A,266,33
1FRV.A,198,30
1CMX.A,164,28
1AT3.A,159,28
1CQI.A,201,30
1JTD.A,177,29
1XSO.A,107,25
1EG9.A,293,34
1XIK.A,239,32
2HHM.A,193,30
1REQ.A,495,39
1BYF.A,94,24
1B3A.A,58,21
1PNK.A,172,29
3HHR.A,139,27
1ISA.A,144,27
1GLA.F,121,26
1BJN.A,253,32
1QAE.A,164,28
