Protein  Threshold  TP  FP   N   Neg  TPR    FPR
1ACB.E   0          13  228  13  159  1.000  1.433
1ACB.I   0          11  52   11  44   1.000  1.181
1AHW.A   0          8   206  9   163  .888   1.263
1AK4.A   0          9   156  9   110  1.000  1.418
1AVX.A   0          22  201  19  139  1.157  1.446
1AY7.A   0          9   87   9   76   1.000  1.144
1AY7.B   0          9   80   9   58   1.000  1.379
1BGX.H   0          19  190  17  162  1.117  1.172
1DE4.E   0          21  78   21  66   1.000  1.181
1DFJ.E   0          18  106  18  85   1.000  1.247
1DFJ.I   0          18  438  18  307  1.000  1.426
1DQJ.A   0          7   207  8   173  .875   1.196
1E4K.C   0          12  160  12  129  1.000  1.240
1E6J.H   0          4   215  5   177  .800   1.214
1EXB.E   0          3   88   3   73   1.000  1.205
1F34.A   0          22  303  23  212  .956   1.429
1FC2.D   0          10  197  10  164  1.000  1.201
1FFW.A   0          8   120  8   90   1.000  1.333
1FFW.B   0          10  58   10  49   1.000  1.183
1FLE.E   0          15  222  11  156  1.363  1.423
1GHQ.A   0          5   302  5   192  1.000  1.572
1GXD.A   0          21  603  21  483  1.000  1.248
1GXD.C   0          18  174  18  149  1.000  1.167
1IRA.X   0          23  122  23  90   1.000  1.355
1JIW.I   0          15  90   15  69   1.000  1.304
1JIW.P   0          20  450  20  312  1.000  1.442
1JPS.H   0          8   205  8   168  1.000  1.220
1KAC.A   0          9   176  9   134  1.000  1.313
1KAC.B   0          12  112  12  89   1.000  1.258
1KLU.D   0          11  219  11  154  1.000  1.422
Protein  Threshold  TP  FP  N   Neg  TPR    FPR
1ACB.E   0.05       9   29  13  159  .692   .182
1ACB.I   0.05       9   13  11  44   .818   .295
1AHW.A   0.05       8   15  9   163  .888   .092
1AK4.A   0.05       6   43  9   110  .666   .390
1AVX.A   0.05       14  33  19  139  .736   .237
1AY7.A   0.05       8   33  9   76   .888   .434
1AY7.B   0.05       8   16  9   58   .888   .275
1BGX.H   0.05       10  16  17  162  .588   .098
1DE4.E   0.05       19  18  21  66   .904   .272
1DFJ.E   0.05       4   24  18  85   .222   .282
1DFJ.I   0.05       11  15  18  307  .611   .048
1DQJ.A   0.05       5   18  8   173  .625   .104
1E4K.C   0.05       11  47  12  129  .916   .364
1E6J.H   0.05       3   32  5   177  .600   .180
1EXB.E   0.05       3   17  3   73   1.000  .232
1F34.A   0.05       5   54  23  212  .217   .254
1FC2.D   0.05       9   46  10  164  .900   .280
1FFW.A   0.05       7   40  8   90   .875   .444
1FFW.B   0.05       8   31  10  49   .800   .632
1FLE.E   0.05       4   29  11  156  .363   .185
1GHQ.A   0.05       0   64  5   192  0      .333
1GXD.A   0.05       0   37  21  483  0      .076
1GXD.C   0.05       11  20  18  149  .611   .134
1IRA.X   0.05       13  18  23  90   .565   .200
1JIW.I   0.05       7   43  15  69   .466   .623
1JIW.P   0.05       7   48  20  312  .350   .153
1JPS.H   0.05       8   18  8   168  1.000  .107
1KAC.A   0.05       3   51  9   134  .333   .380
1KAC.B   0.05       8   28  12  89   .666   .314
1KLU.D   0.05       8   29  11  154  .727   .188
Protein     Threshold  TP        FP  N   Neg  TPR    FPR
1ACB.E      0.05       9         29  13  159  .692   .182
1ACB.I      0.05       9         13  11  44   .818   .295
1AHW.A      0.05       8         15  9   163  .888   .092
1AK4.A      0.05       6         43  9   110  .666   .390
1AVX.A      0.05       14        33  19  139  .736   .237
1AY7.A      0.05       8         33  9   76   .888   .434
1AY7.B      0.05       8         16  9   58   .888   .275
1BGX.H      0.05       10        16  17  162  .588   .098
1DE4.E      0.05       19        18  21  66   .904   .272
1DFJ.E      0.05       4         24  18  85   .222   .282
1DFJ.I      0.05       11        15  18  307  .611   .048
1DQJ.A      0.05       5         18  8   173  .625   .104
1E4K.C      0.05       11        47  12  129  .916   .364
1E6J.H      0.05       3         32  5   177  .600   .180
1EXB.E      0.05       3         17  3   73   1.000  .232
1F34.A      0.05       5         54  23  212  .217   .254
1FC2.D      0.05       9         46  10  164  .900   .280
1FFW.A      0.05       7         40  8   90   .875   .444
1FFW.B      0.05       8         31  10  49   .800   .632
1FLE.E      0.05       4         29  11  156  .363   .185
1GHQ.A      0.05       0         64  5   192  0      .333
1GXD.A      0.05       0         37  21  483  0      .076
1GXD.C      0.05       11        20  18  149  .611   .134
1IRA.X      0.05       13        18  23  90   .565   .200
1JIW.I      0.05       7         43  15  69   .466   .623
1JIW.P      0.05       7         48  20  312  .350   .153
1JPS.H      0.05       8         18  8   168  1.000  .107
1KAC.A      0.05       3         51  9   134  .333   .380
1KAC.B      0.05       8         28  12  89   .666   .314
1KLU.D      0.05       8         29  11  154  .727   .188
Global_TPR  =          .587
Global_FPR  =          .208
avg_TPR     =          0.610161
avg_FPR     =          0.251226
Protein  Threshold  TP  FP  N   Neg  TPR    FPR
1ACB.E   0.1        9   16  13  159  .692   .100
1ACB.I   0.1        9   5   11  44   .818   .113
1AHW.A   0.1        8   11  9   163  .888   .067
1AK4.A   0.1        5   28  9   110  .555   .254
1AVX.A   0.1        14  24  19  139  .736   .172
1AY7.A   0.1        8   31  9   76   .888   .407
1AY7.B   0.1        7   9   9   58   .777   .155
1BGX.H   0.1        10  14  17  162  .588   .086
1DE4.E   0.1        17  12  21  66   .809   .181
1DFJ.E   0.1        0   19  18  85   0      .223
1DFJ.I   0.1        11  6   18  307  .611   .019
1DQJ.A   0.1        4   16  8   173  .500   .092
1E4K.C   0.1        11  30  12  129  .916   .232
1E6J.H   0.1        3   26  5   177  .600   .146
1EXB.E   0.1        3   9   3   73   1.000  .123
1F34.A   0.1        4   48  23  212  .173   .226
1FC2.D   0.1        9   37  10  164  .900   .225
1FFW.A   0.1        5   26  8   90   .625   .288
1FFW.B   0.1        6   17  10  49   .600   .346
1FLE.E   0.1        4   26  11  156  .363   .166
1GHQ.A   0.1        0   40  5   192  0      .208
1GXD.A   0.1        0   26  21  483  0      .053
1GXD.C   0.1        11  18  18  149  .611   .120
1IRA.X   0.1        13  11  23  90   .565   .122
1JIW.I   0.1        7   38  15  69   .466   .550
1JIW.P   0.1        7   45  20  312  .350   .144
1JPS.H   0.1        2   13  8   168  .250   .077
1KAC.A   0.1        3   31  9   134  .333   .231
1KAC.B   0.1        8   21  12  89   .666   .235
1KLU.D   0.1        8   27  11  154  .727   .175
Protein     Threshold  TP        FP  N   Neg  TPR    FPR
1ACB.E      0.1        9         16  13  159  .692   .100
1ACB.I      0.1        9         5   11  44   .818   .113
1AHW.A      0.1        8         11  9   163  .888   .067
1AK4.A      0.1        5         28  9   110  .555   .254
1AVX.A      0.1        14        24  19  139  .736   .172
1AY7.A      0.1        8         31  9   76   .888   .407
1AY7.B      0.1        7         9   9   58   .777   .155
1BGX.H      0.1        10        14  17  162  .588   .086
1DE4.E      0.1        17        12  21  66   .809   .181
