,predus,ispred,dockpred,rfscore,logreg
cv1,0.4213381555153707,0.42495479204339964,0.43037974683544306,0.5081374321880652,0.48282097649186256
cv2,0.40361990950226245,0.3963800904977376,0.40542986425339367,0.45429864253393665,0.46515837104072394
cv3,0.3295668549905838,0.37099811676082856,0.29943502824858753,0.37099811676082856,0.3804143126177025
cv4,0.2511627906976744,0.3293023255813953,0.30697674418604654,0.35348837209302325,0.34976744186046516
cv5,0.34343434343434337,0.3801652892561984,0.43893480257116624,0.45179063360881544,0.4775022956841139
cv6,0.3265306122448979,0.39510204081632655,0.2971428571428571,0.3983673469387755,0.3983673469387755
cv7,0.341130604288499,0.41325536062378165,0.3196881091617934,0.42300194931773877,0.3996101364522417
cv8,0.31588962892483347,0.3672692673644149,0.35965746907706947,0.40913415794481445,0.40532825880114176
cv9,0.3779527559055118,0.3425196850393701,0.44291338582677164,0.46653543307086615,0.42913385826771655
cv10,0.3615384615384615,0.3461538461538461,0.37500000000000006,0.41730769230769227,0.3961538461538461
