"Csf-1"	"Csf-2"	"Csf-3"	"Csf-4"	"Csf-5"
-2.30944	-0.6718	-13.5361	-1.03216	-13.5361
-1.93924	-1.0121	-11.74764	-2.57446	-10.38618
0.10988	0.099	-14.60635	0.49928	-10.79393
-2.0761	-0.0427	-6.09452	-1.14611	-6.09452
0.10546	-1.9801	-8.70165	-0.16151	-8.70165
-0.66423	0.4963	-10.02197	-1.04073	-6.30728
-1.69418	-0.2249	-6.31929	-1.40886	-4.66383
-2.1795	-2.3439	-13.5014	-2.87546	-13.80218
-2.89638	-1.5188	-12.02338	-4.25718	-11.35252
-2.67058	-0.335	-37.40091	-2.36212	-31.11616
-0.94503	0.5998	-11.00892	-3.18205	-9.03151
-1.45007	-1.2684	-13.43623	-0.76121	-13.43623
-1.53942	-1.8654	-5.34549	0.32871	-5.34549
-1.02516	-1.5117	-5.87878	-1.68758	-4.70071
-1.42057	-1.2791	-5.32446	-0.52046	-7.86078
-3.76876	-2.6085	-18.44455	-1.57108	-18.44455
1.88438	1.692	-10.88718	-1.54622	-10.88718
0.87072	-0.3593	-11.62745	-3.14369	-11.24374
-1.48476	-0.8031	-11.29861	-0.80487	-10.62911
-1.37268	-0.6619	-11.97759	-2.19944	-12.13057
-2.9227	-0.6847	-10.25901	-1.87763	-10.25901
-0.12881	-0.1853	-5.6027	-0.47397	-5.6027
-0.77107	-1.9024	-5.81192	-1.8822	-5.81192
-2.6103	-1.4167	-12.01885	-2.0025	-16.16805
-2.01663	-1.5414	-11.86805	-1.76684	-11.86805
-2.69173	-2.5793	-11.74299	-0.73777	-11.15078
-3.30061	-4.5327	-9.74309	-0.77628	-4.24146
-1.99927	0.3997	-12.52198	-0.94318	-12.09904
-1.41315	-0.318	-11.69646	-0.05229	-11.69646
-1.86424	-0.0838	-11.80553	-1.69392	-11.80553
-0.62377	-1.0334	-8.80246	-0.65006	-8.80246
-3.23635	-2.0246	-10.09435	-2.00431	-10.18759
-2.69854	-2.3668	-7.42583	-1.71224	-7.44579
-1.24898	-2.7133	-11.50718	0.04333	-10.83923
-1.01104	-1.0278	-10.31454	-2.41857	-10.31454
-0.70794	1.1265	-9.27267	-0.43044	-9.96045
-3.11173	-0.8751	-9.90803	-1.49328	-9.90803
-0.19349	-0.1861	-8.05363	-1.77395	-6.59798
2.81227	-1.4575	-11.51435	-0.92783	-11.51435
0.87334	-1.1101	-15.1427	-0.57942	-11.00478
-4.64336	-2.8238	-7.90094	-2.61158	-7.90094
-2.46848	-0.9011	-9.94297	-0.38544	-9.94297
-2.5169	-1.7968	-22.25045	-3.25963	-22.25045
-2.85718	-1.8098	-8.0884	-1.38296	-8.0884
-3.06539	0.0209	-8.51235	-0.79996	-8.34529
0.02627	-0.7574	-12.45583	-2.04698	-8.08289
-3.40381	-1.9314	-23.03393	-2.01801	-23.57618
-0.80903	-1.9792	-6.2312	-0.27648	-4.30482
-2.26096	-0.5809	-16.27454	-2.83565	-16.27454
-0.17159	-1.2768	-10.46066	-3.11287	-10.46066
-2.46495	0.2931	-10.03701	-0.72432	-8.635
1.25753	-0.3859	-9.17295	-2.21669	-8.0126
-0.59424	-1.5456	-12.778	-1.16156	-12.778
0.21099	-0.6954	-20.15622	-0.84042	-20.15622
