protein,predus,ispred,dockpred,rfscore,logreg
1ACB.E,0.41978989116695853,0.363333772991045,0.5327021275187855,0.5327021275187855,0.589158245694699
1ACB.I,0.49474593521632426,0.5845701251835531,0.49474593521632426,0.6743943151507821,0.6743943151507821
1AHW.A,0.5399091057458346,0.6207066922001063,0.741903071881514,0.7015042786543781,0.7015042786543781
1AK4.A,0.18911761013682885,0.33561716728507657,0.115867831562705,0.2623673887109527,0.4088669458592004
1AT3.A,0.4912167053423397,0.4912167053423397,0.5995990389054182,0.5454078721238789,0.5454078721238789
1ATN.A,0.25993873597773015,0.026885881826599442,0.12010702348705171,0.213328165147504,0.25993873597773015
1AVA.A,0.21231932731451064,0.6232489965619653,0.48627244014614707,0.5775901444233592,0.6232489965619653
1AVW.A,0.5137815643869863,0.46522832376622303,0.5137815643869863,0.5623348050077497,0.610888045628513
1AVX.A,0.5623348050077497,0.4166750831454597,0.5137815643869863,0.5623348050077497,0.5623348050077497
1AVZ.B,0.49392468184807087,0.41844361028968613,0.041038252497762565,0.34296253873130145,0.41844361028968613
1AY7.A,0.23809836762535533,0.23809836762535533,0.07064457061411641,0.4055521646365942,0.4055521646365942
1AY7.B,0.4125474813802474,0.15337059307783316,0.4125474813802474,0.4125474813802474,0.49893977748105217
1B34.A,0.43284304564172493,0.1591083132200807,0.7750114611687802,0.43284304564172493,0.7750114611687802
1B3A.A,0.18785844713603211,0.43958876629831517,0.2717685535234598,0.5234988726857428,0.5234988726857428
1B5E.A,0.023901808674706794,0.4532436141855891,0.4174651303930156,0.38168664660044205,0.5248005817707362
1B6C.A,0.509542275314584,0.5750723515870124,0.18189189395244162,0.509542275314584,0.509542275314584
1B7B.A,0.26933997121925396,0.4195440968583293,0.3068910026290228,0.5321971910876357,0.5321971910876357
1B8A.A,0.46711387020399103,0.24017735598854456,0.46711387020399103,0.3914683654655089,0.49232903845015175
1B8J.A,0.4912766429613539,0.31564468305177734,0.4160058030001068,0.4410960829871892,0.4912766429613539
1B9M.A,0.2291958076533811,0.35987200877492875,0.261864857933768,0.4905482098964764,0.4578791596160895
1BGX.H,0.44148076222021554,0.44148076222021554,0.3755169399622895,0.5404264956071045,0.5074445844781416
1BI7.A,0.13064393326988571,0.049293891488405954,-0.11340619207455357,0.08996891237914584,0.049293891488405954
1BJN.A,0.3481460244648318,0.5196865443425076,0.5196865443425076,0.5196865443425076,0.588302752293578
