protein,meta-ppisp
1ACB.E,0.5327021275187855
1ACB.I,0.5845701251835531
1AHW.A,0.418712726064427
1AK4.A,0.2623673887109527
1AT3.A,0.5454078721238789
1ATN.A,0.3531598776381824
1AVA.A,0.3492958837303289
1AVW.A,0.5630041012792085
1AVX.A,0.5145292307829679
1AVZ.B,0.34296253873130145
1AY7.A,0.4055521646365942
1AY7.B,0.5853320735818569
1B34.A,0.3644093625363139
1B3A.A,0.5234988726857428
1B5E.A,0.4890220979781626
1B6C.A,0.3129520464972986
1B7B.A,0.006482751350872144
1B8A.A,0.4166835337116696
1B8J.A,0.4160058030001068
1B9M.A,0.1638577070926073
1BGX.H,0.5078488137299654
1BI7.A,0.008618870597666072
1BJN.A,0.21091360856269112
1BKD.R,0.3283046766650316
1BML.A,0.12210487645133505
1BO1.A,0.32650026311303487
1BRM.A,0.30515733807019196
1BUH.A,-0.01660967467370669
1BVN.T,0.5717945256749463
1BYF.A,0
1C0F.S,0.4699477050553261
1CC0.A,0.33984375490132723
1CLI.A,0.3996117291688691
1CMB.A,0.2948157976717055
1CMX.A,0.27930187622889613
1CNZ.A,0.36711450884022234
1COZ.A,0.2314354623327033
1CP2.A,0.4247022999061047
1CQI.A,0.09923221352015967
1CSE.I,0.45028390439701166
1CVS.A,0.4615485736456497
1D09.A,0
1DCE.A,0.3729743193671731
1DE4.E,0.3581335117540742
1DFJ.E,0.19235323512397742
1DFJ.I,0.3646230944511583
1DHK.A,0.29410632044460877
1DOR.A,0.34403852719090877
1DOW.A,0.3663421319679645
1DQJ.A,0.40441550865201603
1E4K.C,0.25823598462412106
1E6J.H,0.364817205981803
1EAI.C,0.3315392897585364
1EFV.A,0.22266011426027688
1EG9.A,0.02132749752130196
1EMV.A,0.4171612607447393
1ETH.A,0.1907436413223055
1EUV.A,0.27329015647637683
1EXB.E,0.32698851295313996
1F34.A,0.16267922200013818
1F60.A,0.27323552136826956
1F6Y.A,0.3224972904340467
1FC2.D,0.36319412206176777
1FFW.A,-0.041344911529736156
1FFW.B,0.5313167163727861
1FIN.A,0.1848054765874757
1FLE.E,-0.017585223113430873
1FRV.A,0.1791862393062756
1FSS.A,0.41284354053250893
1GHQ.A,0
1GLA.F,0
1GPE.A,0.2474473831990156
1GUX.A,0.3021981866369665
1GXD.A,0
1GXD.C,0.1708689652689516
1H2A.L,0.4828370410670135
1HGX.A,0.22144710907581505
1HJR.A,0.4968240426465006
1HLU.A,0.11310316007954276
1HSS.A,-0.0795852515265008
1I2M.A,0.15183967649358066
1I8L.A,-0.00924275115743938
1IRA.X,0.30158073291441156
1ISA.A,0.40645892593143046
1ITB.A,-0.011690149710002751
1JIW.I,0.507630011973488
1JIW.P,0.22125844645507645
1JKM.A,0.1691507860348548
1JPS.H,0.4804275819374108
1JTD.A,0.38824318532793206
1KAC.A,0
1KAC.B,0.046770717334674264
1KLU.D,0.3527263333579712
1KPE.A,0.5230208572900011
1KTZ.A,0.10070460960114369
1KXP.A,0.5197116147662011
1KXP.D,0
1LFD.A,0.25608661164085167
1LUC.A,0.10896931006033221
1ML0.A,0
1MLC.A,0.19598210595594145
1MQ8.B,0.2055165870877419
1MSP.A,0
1NSE.A,0.385703065373595
1OFU.A,0.4344527565897327
1ONE.A,0.40186207522912404
1PDK.A,0.3430099312452254
1PNK.A,0.2642977247803497
1PP2.L,0.26483575445966623
1PVH.B,0.35910289438099313
1QA9.A,0
1QA9.B,0
1QAE.A,0
1QAV.A,0.20756345021061517
1QAX.A,0.3223019597830835
1QBI.A,0.20633718375243573
1QFE.A,0.24758306907641012
1QFH.A,0.3956000323566376
1QOR.A,0.21310936699945807
1REQ.A,0.3784875785138523
1RRP.A,-0.09370122309072747
1S1Q.A,-0.0005076207532276439
1SMP.I,0.5294163219449519
1SMT.A,0.26230031826010375
1SOX.A,0.1174081466821353
1SPU.A,0.29713180279733664
1STF.E,0.2734909425502591
1T6B.X,0.0628312330333698
1T6B.Y,0.5861108718518001
1TCO.A,0.68355499569623
1TGS.I,0.29633687524420094
1TMQ.A,0.4578330032256659
1TMQ.B,0.3750079063050156
1TRK.A,0.45650266888691254
1TX4.A,0.13981749364262808
1UEA.A,0.22262735021316912
1US7.A,0.2447314422048631
1US7.B,0
1VFB.A,0.5465947763518055
1VLT.A,0.20991097735960998
1VOK.A,0.3170315454431031
1WEJ.H,0.3831349937931802
1WGJ.A,0.40570877120790894
1WQ1.R,0.5253041949500225
1XIK.A,-0.015601678503457356
1XQS.A,0.19215183146597528
1XSO.A,0.4947274449181537
1YCS.A,0.46937677939521033
1YPI.A,0.4024814067538934
1YVE.I,0.22601650721726668
1ZBD.A,0.3166992397971041
1ZHH.A,0.5138473529339109
1ZHI.A,0
1ZHI.B,0.03268602252303067
2A5T.A,0.3052489099549155
2A5T.B,0.12693934413898242
2AAI.A,0.49629340626171903
2AE2.A,0.04341354033856531
2AJF.E,0
2B42.A,0.3130578825549297
2B42.B,0.18927798627888673
2B4J.C,0.45023085351608394
2BTF.A,0.28226110891639067
2BTF.P,-0.06903623194399623
2C0L.A,0.1344494191826522
2CFH.C,0.4420478498990474
2FD6.H,0.4722809767892243
2HDH.A,0.15982844188718706
2HHM.A,0.5577046642179772
2HLE.B,0.42488588490873863
2HQS.A,0.11517955883414942
2HRK.B,0.2012830238756213
2J0T.A,0.32637071120617694
2J0T.D,0.408785977352145
2NAC.A,0.45069106247853113
2O3B.A,0
2PCB.A,0.34208531677932047
2PFL.A,0.31185192673149614
2PTC.I,0.5513619500836088
2SIC.E,0.5509748409561899
2SIC.I,0.6294977054057553
2UTG.A,0.29615285103456107
2VDB.A,0
2VIS.A,-0.05504818825631803
2VXT.H,0.44352545933516535
2W9E.H,0.37580616359613317
3AAA.C,0.48908082133533026
3BIW.A,0
3BX7.A,0.1376004229603469
3BX7.C,-0.073543550676819
3C98.A,0.3425457034303203
3DAW.A,0.47056252914417707
3DAW.B,0.5359449847213484
3EO1.A,0.05294720260813397
3EOA.L,0.421211210623172
3F1P.A,0.1532006004083322
3F1P.B,0.3626491967627395
3G6D.L,0.5461366689234544
3HHR.A,0.28588589050999674
3HI6.X,0.36025318227792924
3HMX.L,0.480754816319452
3L5W.L,0.4058279284634512
3MXW.L,0.5205490413112535
3R9A.B,0.293520614417066
3RVW.C,0.45152179185310953
3S9D.B,-0.053257223934237555
3SZK.E,0
3SZK.F,0.14191582462161262
3TMK.A,0
3V6Z.A,0.5645558321894758
3VLB.A,0
3VLB.B,0.04174857888557741
4DN4.L,0.5287998727948224
4FQI.H,0.49026277041462457
4G6J.H,0.443253333724995
4G6M.H,0.5291088953727269
4JCV.E,0
4M76.B,0
4MDH.A,0.24691291234075455
4SGB.I,0.3480049656834667
4XXH.A,0.5568998392608333
7CEI.A,0.34956528921885344
7CEI.B,0
