protein,meta-ppisp
1ACB.E,0.5238095238095238
1ACB.I,0.6451612903225806
1AHW.A,0.43636363636363634
1AK4.A,0.28571428571428575
1AT3.A,0.5581395348837209
1ATN.A,0.36734693877551017
1AVA.A,0.3673469387755102
1AVW.A,0.5957446808510638
1AVX.A,0.5531914893617021
1AVZ.B,0.411764705882353
1AY7.A,0.43750000000000006
1AY7.B,0.5806451612903226
1B34.A,0.5128205128205129
1B3A.A,0.6060606060606061
1B5E.A,0.5538461538461539
1B6C.A,0.4210526315789474
1B7B.A,0.10169491525423728
1B8A.A,0.4615384615384615
1B8J.A,0.45161290322580644
1B9M.A,0.2777777777777778
1BGX.H,0.5454545454545455
1BI7.A,0.1090909090909091
1BJN.A,0.28125
1BKD.R,0.4313725490196078
1BML.A,0.21818181818181817
1BO1.A,0.36
1BRM.A,0.37209302325581395
1BUH.A,0.046511627906976744
1BVN.T,0.6666666666666666
1BYF.A,0
1C0F.S,0.5652173913043478
1CC0.A,0.3428571428571429
1CLI.A,0.4594594594594595
1CMB.A,0.4102564102564102
1CMX.A,0.36000000000000004
1CNZ.A,0.42666666666666664
1COZ.A,0.29411764705882354
1CP2.A,0.4285714285714286
1CQI.A,0.16666666666666669
1CSE.I,0.5333333333333333
1CVS.A,0.5365853658536585
1D09.A,0
1DCE.A,0.4155844155844156
1DE4.E,0.5
1DFJ.E,0.32558139534883723
1DFJ.I,0.3773584905660377
1DHK.A,0.33333333333333337
1DOR.A,0.4
1DOW.A,0.37209302325581395
1DQJ.A,0.41509433962264153
1E4K.C,0.30769230769230765
1E6J.H,0.2857142857142857
1EAI.C,0.45161290322580644
1EFV.A,0.3111111111111111
1EG9.A,0.09230769230769231
1EMV.A,0.5142857142857142
1ETH.A,0.20833333333333334
1EUV.A,0.36363636363636365
1EXB.E,0.24000000000000002
1F34.A,0.22641509433962262
1F60.A,0.3225806451612903
1F6Y.A,0.375
1FC2.D,0.358974358974359
1FFW.A,0.0625
1FFW.B,0.5806451612903225
1FIN.A,0.26666666666666666
1FLE.E,0.05128205128205127
1FRV.A,0.29213483146067415
1FSS.A,0.4
1GHQ.A,0
1GLA.F,0
1GPE.A,0.2857142857142857
1GUX.A,0.35000000000000003
1GXD.A,0
1GXD.C,0.2608695652173913
1H2A.L,0.5111111111111111
1HGX.A,0.3181818181818182
1HJR.A,0.5365853658536585
1HLU.A,0.13636363636363635
1HSS.A,0.10256410256410255
1I2M.A,0.27999999999999997
1I8L.A,0.05555555555555556
1IRA.X,0.41666666666666663
1ISA.A,0.3888888888888889
1ITB.A,0.1568627450980392
1JIW.I,0.5789473684210527
1JIW.P,0.2545454545454545
1JKM.A,0.20833333333333334
1JPS.H,0.47058823529411753
1JTD.A,0.3902439024390244
1KAC.A,0
1KAC.B,0.16666666666666666
1KLU.D,0.358974358974359
1KPE.A,0.631578947368421
1KTZ.A,0.2
1KXP.A,0.5384615384615384
1KXP.D,0
1LFD.A,0.3636363636363636
1LUC.A,0.19354838709677422
1ML0.A,0
1MLC.A,0.20833333333333331
1MQ8.B,0.2631578947368421
1MSP.A,0
1NSE.A,0.4383561643835616
1OFU.A,0.4186046511627908
1ONE.A,0.4477611940298507
1PDK.A,0.42857142857142855
1PNK.A,0.38532110091743116
1PP2.L,0.38095238095238104
1PVH.B,0.34285714285714286
1QA9.A,0
1QA9.B,0
1QAE.A,0
1QAV.A,0.3428571428571428
1QAX.A,0.3716814159292035
1QBI.A,0.23529411764705885
1QFE.A,0.2285714285714286
1QFH.A,0.48484848484848486
1QOR.A,0.2692307692307692
1REQ.A,0.4077669902912621
1RRP.A,0.06666666666666667
1S1Q.A,0.1111111111111111
1SMP.I,0.5714285714285714
1SMT.A,0.43478260869565216
1SOX.A,0.1694915254237288
1SPU.A,0.3157894736842105
1STF.E,0.30769230769230765
1T6B.X,0.07843137254901959
1T6B.Y,0.6
1TCO.A,0.6923076923076923
1TGS.I,0.4848484848484849
1TMQ.A,0.46153846153846156
1TMQ.B,0.4615384615384615
1TRK.A,0.4761904761904762
1TX4.A,0.22727272727272727
