Protein,TP,Predicted_Residues,Annotated_Residues,Precision,Recall
2SIC.E,17,275,17,0.061818,1
2A5T.A,10,271,10,0.0369,1
1DFJ.I,18,456,18,0.039474,1
2BTF.A,18,373,18,0.048257,1
1KLU.D,11,230,11,0.047826,1
4JCV.E,11,214,11,0.051402,1
4G6M.H,14,433,14,0.032333,1
3R9A.B,17,289,17,0.058824,1
2B42.B,21,184,21,0.11413,1
1GXD.C,18,192,18,0.09375,1
2FD6.H,14,420,14,0.033333,1
1DE4.E,21,99,21,0.212121,1
3G6D.L,15,433,15,0.034642,1
3SZK.F,11,141,11,0.078014,1
1JIW.I,15,105,15,0.142857,1
1JIW.P,20,470,20,0.042553,1
1ACB.I,11,63,11,0.174603,1
1GHQ.A,5,307,5,0.016287,1
1VFB.A,15,223,15,0.067265,1
3SZK.E,12,123,12,0.097561,1
2B42.A,19,364,19,0.052198,1
1KAC.B,12,124,12,0.096774,1
1ZHH.A,13,344,13,0.037791,1
3EO1.A,12,431,12,0.027842,1
2W9E.H,17,427,17,0.039813,1
1DQJ.A,18,424,18,0.042453,1
3EOA.L,12,429,12,0.027972,1
1FC2.D,10,206,10,0.048544,1
2A5T.B,14,276,14,0.050725,1
2C0L.A,19,292,19,0.065068,1
1US7.A,7,206,7,0.033981,1
4M76.B,12,179,12,0.067039,1
2HLE.B,13,133,13,0.097744,1
2B4J.C,8,82,8,0.097561,1
1AVX.A,19,220,19,0.086364,1
2CFH.C,10,149,10,0.067114,1
1XQS.A,23,264,23,0.087121,1
3L5W.L,10,436,10,0.022936,1
1T6B.Y,14,170,14,0.082353,1
1ML0.A,9,371,9,0.024259,1
1OFU.A,12,307,12,0.039088,1
1ZHI.B,8,125,8,0.064,1
2AJF.E,11,174,11,0.063218,1
1ZHI.A,9,195,9,0.046154,1
3S9D.B,12,180,12,0.066667,1
1US7.B,8,193,8,0.041451,1
1E6J.H,7,429,7,0.016317,1
1TMQ.B,15,117,15,0.128205,1
2BTF.P,18,139,18,0.129496,1
