protein,TP,N,TPR,FP,neg,FPR
1PP2.L,17,17,1.0,105,105,1.0
1KXP.D,26,26,1.0,412,412,1.0
1ONE.A,34,34,1.0,402,402,1.0
1KXP.A,20,20,1.0,329,329,1.0
1LFD.A,11,11,1.0,76,76,1.0
1MSP.A,12,12,1.0,112,112,1.0
1MLC.A,13,13,1.0,419,419,1.0
1KLU.D,11,11,1.0,219,219,1.0
1KAC.A,9,9,1.0,176,176,1.0
1KAC.B,12,12,1.0,112,112,1.0
1MQ8.B,12,12,1.0,165,165,1.0
1PNK.A,80,80,1.0,113,113,1.0
1ML0.A,9,9,1.0,362,362,1.0
1KPE.A,33,33,1.0,80,80,1.0
1JTD.A,12,12,1.0,250,250,1.0
1OFU.A,12,12,1.0,295,295,1.0
1PDK.A,28,28,1.0,187,187,1.0
1PVH.B,8,8,1.0,161,161,1.0
1NSE.A,39,39,1.0,377,377,1.0
1KTZ.A,7,7,1.0,75,75,1.0
1JPS.H,16,16,1.0,410,410,1.0
1LUC.A,30,30,1.0,296,296,1.0
