protein,TP,N,TPR,FP,neg,FPR
2UTG.A,14,14,1.0,56,56,1.0
2PTC.I,8,8,1.0,50,50,1.0
3BIW.A,9,9,1.0,524,524,1.0
2VIS.A,12,12,1.0,419,419,1.0
2PFL.A,23,23,1.0,736,736,1.0
2PCB.A,6,6,1.0,288,288,1.0
2SIC.E,17,17,1.0,258,258,1.0
3G6D.L,15,15,1.0,418,418,1.0
2VXT.H,13,13,1.0,403,403,1.0
2VDB.A,11,11,1.0,563,563,1.0
2W9E.H,17,17,1.0,410,410,1.0
3C98.A,27,27,1.0,529,529,1.0
3EOA.L,12,12,1.0,417,417,1.0
7CEI.A,13,13,1.0,74,74,1.0
3AAA.C,11,11,1.0,106,106,1.0
2SIC.I,11,11,1.0,96,96,1.0
3DAW.B,16,16,1.0,124,124,1.0
3BX7.C,16,16,1.0,104,104,1.0
3EO1.A,12,12,1.0,419,419,1.0
3DAW.A,20,20,1.0,352,352,1.0
3BX7.A,16,16,1.0,157,157,1.0
3F1P.A,13,13,1.0,101,101,1.0
3F1P.B,18,18,1.0,93,93,1.0
