Protein,surface res,cutoff res,annotated res
1DOR.A,213,30,25
1YVE.I,331,35,25
1DOW.A,179,29,14
1NSE.A,313,34,39
1EMV.A,73,22,13
1CP2.A,179,29,13
1RRP.A,162,28,32
1XIK.A,239,32,37
1BKD.R,127,26,25
1TCO.A,232,31,21
1JKM.A,244,32,16
1I8L.A,164,28,8
1QBI.A,298,34,17
1QFH.A,180,29,37
1D09.A,206,30,15
1B6C.A,88,23,15
1CMX.A,164,28,22
1ETH.A,302,34,14
3C98.A,400,37,27
1BVN.T,61,21,15
1REQ.A,495,39,64
1STF.E,148,27,12
4SGB.I,48,19,6
1ONE.A,266,33,34
2NAC.A,275,33,56
1BJN.A,253,32,32
1CNZ.A,253,32,43
1SMP.I,81,23,12
1B3A.A,58,21,12
1B34.A,70,22,17
1AT3.A,159,28,15
1ISA.A,144,27,9
1MSP.A,107,25,12
1CMB.A,94,24,15
1I2M.A,126,26,24
1TRK.A,429,38,67
3HHR.A,139,27,21
1SPU.A,514,40,112
1LFD.A,74,22,11
1VOK.A,149,27,19
1AVW.A,159,28,19
1BRM.A,261,32,54
1UEA.A,133,26,22
1CSE.I,55,20,10
1ITB.A,119,26,25
1SMT.A,90,24,22
1EG9.A,293,34,31
1CVS.A,100,24,17
1FRV.A,198,30,59
1BI7.A,202,30,25
1TX4.A,145,27,17
1B5E.A,187,29,36
1F6Y.A,183,29,19
4MDH.A,239,32,26
1HGX.A,125,26,18
2AE2.A,196,30,18
1C0F.S,101,24,22
1HLU.A,277,33,11
1DHK.A,321,34,26
1WGJ.A,207,30,11
4XXH.A,187,29,19
2AAI.A,199,30,25
2PFL.A,444,38,23
1QAE.A,164,28,13
1WQ1.R,120,26,14
1BML.A,171,29,26
1GUX.A,137,27,13
1EUV.A,158,28,27
1GPE.A,351,35,28
1CC0.A,130,26,9
1PDK.A,170,28,28
1DCE.A,433,38,39
2PTC.I,53,20,8
1TGS.I,49,20,13
1QFE.A,170,28,7
1JTD.A,177,29,12
1B9M.A,217,31,41
2HHM.A,193,30,21
1VLT.A,120,26,14
1CLI.A,246,32,42
1YCS.A,153,28,11
1SOX.A,333,35,24
1GLA.F,121,26,7
1EFV.A,228,31,59
1FIN.A,223,31,29
1PP2.L,105,25,17
1BYF.A,94,24,16
1B8J.A,289,33,60
1BUH.A,221,31,12
1COZ.A,102,24,10
1HJR.A,126,26,15
1PNK.A,172,29,80
1QAX.A,327,35,78
1QOR.A,235,31,21
1FSS.A,341,35,15
1AVZ.B,89,23,11
1LUC.A,239,32,30
1AVA.A,259,32,17
1H2A.L,349,35,55
1CQI.A,201,30,18
2HDH.A,226,31,16
1YPI.A,179,29,23
2UTG.A,66,21,14
3TMK.A,167,28,11
1HSS.A,92,24,15
1ZBD.A,131,26,19
1BO1.A,252,32,18
1XSO.A,107,25,7
1B8A.A,333,35,56
1B7B.A,230,31,28
1KPE.A,93,24,33
1QAV.A,76,22,13
1EAI.C,60,21,10
1F60.A,319,34,28
2PCB.A,224,31,6
1ATN.A,270,33,16
