protein,TP,N,TPR,FP,neg,FPR
1TRK.A,67,67,1.0,611,611,1.0
1XQS.A,23,23,1.0,241,241,1.0
1VLT.A,14,14,1.0,128,128,1.0
1WEJ.H,11,11,1.0,426,426,1.0
1YCS.A,11,11,1.0,180,180,1.0
1XSO.A,7,7,1.0,142,142,1.0
1XIK.A,37,37,1.0,303,303,1.0
1UEA.A,22,22,1.0,144,144,1.0
1ZBD.A,19,19,1.0,152,152,1.0
1TX4.A,17,17,1.0,179,179,1.0
1WQ1.R,14,14,1.0,152,152,1.0
1ZHI.A,9,9,1.0,186,186,1.0
1ZHI.B,8,8,1.0,117,117,1.0
1TMQ.B,15,15,1.0,102,102,1.0
1WGJ.A,11,11,1.0,271,271,1.0
1YVE.I,25,25,1.0,488,488,1.0
1VOK.A,19,19,1.0,173,173,1.0
1US7.A,7,7,1.0,199,199,1.0
1YPI.A,23,23,1.0,224,224,1.0
1US7.B,8,8,1.0,185,185,1.0
1VFB.A,15,15,1.0,208,208,1.0
1ZHH.A,13,13,1.0,331,331,1.0
