protein,TP,N,TPR,FP,neg,FPR
2SIC.E,17,17,1.0,258,258,1.0
2A5T.A,10,10,1.0,261,261,1.0
1DFJ.I,18,18,1.0,438,438,1.0
2BTF.A,18,18,1.0,355,355,1.0
1KLU.D,11,11,1.0,219,219,1.0
4JCV.E,11,11,1.0,203,203,1.0
4G6M.H,14,14,1.0,419,419,1.0
3R9A.B,17,17,1.0,272,272,1.0
2B42.B,21,21,1.0,163,163,1.0
1KAC.A,9,9,1.0,176,176,1.0
1GXD.C,18,18,1.0,174,174,1.0
2FD6.H,14,14,1.0,406,406,1.0
1DE4.E,21,21,1.0,78,78,1.0
3G6D.L,15,15,1.0,418,418,1.0
3SZK.F,11,11,1.0,130,130,1.0
1JIW.I,15,15,1.0,90,90,1.0
1JIW.P,20,20,1.0,450,450,1.0
1ACB.I,11,11,1.0,52,52,1.0
1GHQ.A,5,5,1.0,302,302,1.0
1VFB.A,15,15,1.0,208,208,1.0
1VFB.A,15,15,1.0,208,208,1.0
3SZK.E,12,12,1.0,111,111,1.0
2B42.A,19,19,1.0,345,345,1.0
1KAC.B,12,12,1.0,112,112,1.0
1ZHH.A,13,13,1.0,331,331,1.0
3EO1.A,12,12,1.0,419,419,1.0
2W9E.H,17,17,1.0,410,410,1.0
1DQJ.A,18,18,1.0,406,406,1.0
3EOA.L,12,12,1.0,417,417,1.0
1FC2.D,10,10,1.0,196,196,1.0
2A5T.B,14,14,1.0,262,262,1.0
2C0L.A,19,19,1.0,273,273,1.0
1TMQ.A,18,18,1.0,452,452,1.0
1US7.A,7,7,1.0,199,199,1.0
4M76.B,12,12,1.0,167,167,1.0
2HLE.B,13,13,1.0,120,120,1.0
2B4J.C,8,8,1.0,74,74,1.0
1AVX.A,19,19,1.0,201,201,1.0
2CFH.C,10,10,1.0,139,139,1.0
1XQS.A,23,23,1.0,241,241,1.0
3L5W.L,10,10,1.0,426,426,1.0
1T6B.Y,14,14,1.0,156,156,1.0
1ML0.A,9,9,1.0,362,362,1.0
1OFU.A,12,12,1.0,295,295,1.0
1ZHI.B,8,8,1.0,117,117,1.0
1F34.A,22,22,1.0,303,303,1.0
2AJF.E,11,11,1.0,163,163,1.0
1ZHI.A,9,9,1.0,186,186,1.0
3S9D.B,12,12,1.0,168,168,1.0
1US7.B,8,8,1.0,185,185,1.0
1E6J.H,7,7,1.0,422,422,1.0
1TMQ.B,15,15,1.0,102,102,1.0
2BTF.P,18,18,1.0,121,121,1.0
3BX7.C,16,16,1.0,104,104,1.0
1E4K.C,12,12,1.0,160,160,1.0
2VDB.A,11,11,1.0,563,563,1.0
1KXP.A,20,20,1.0,329,329,1.0
1FLE.E,11,11,1.0,218,218,1.0
1AK4.A,9,9,1.0,156,156,1.0
3MXW.L,14,14,1.0,412,412,1.0
2VXT.H,13,13,1.0,403,403,1.0
4DN4.L,14,14,1.0,413,413,1.0
2VIS.A,12,12,1.0,419,419,1.0
1QA9.A,13,13,1.0,89,89,1.0
1MQ8.B,12,12,1.0,165,165,1.0
3DAW.B,16,16,1.0,124,124,1.0
3HMX.L,16,16,1.0,415,415,1.0
3F1P.B,18,18,1.0,93,93,1.0
3AAA.C,11,11,1.0,106,106,1.0
3F1P.A,13,13,1.0,101,101,1.0
3BX7.A,16,16,1.0,157,157,1.0
3DAW.A,20,20,1.0,352,352,1.0
1QA9.B,15,15,1.0,80,80,1.0
1MLC.A,13,13,1.0,419,419,1.0
4G6J.H,16,16,1.0,414,414,1.0
1T6B.X,12,12,1.0,664,664,1.0
1JPS.H,16,16,1.0,410,410,1.0
2J0T.A,18,18,1.0,143,143,1.0
4FQI.H,11,11,1.0,402,402,1.0
1AHW.A,20,20,1.0,408,408,1.0
2HQS.A,17,17,1.0,395,395,1.0
1FFW.A,8,8,1.0,120,120,1.0
3HI6.X,15,15,1.0,411,411,1.0
7CEI.B,10,10,1.0,116,116,1.0
1GXD.A,21,21,1.0,603,603,1.0
3V6Z.A,21,21,1.0,419,419,1.0
1ACB.E,13,13,1.0,228,228,1.0
1AY7.A,9,9,1.0,87,87,1.0
1BGX.H,31,31,1.0,384,384,1.0
1KXP.D,26,26,1.0,412,412,1.0
3VLB.A,15,15,1.0,389,389,1.0
1KTZ.A,7,7,1.0,75,75,1.0
3BIW.A,9,9,1.0,524,524,1.0
1EXB.E,3,3,1.0,88,88,1.0
2O3B.A,15,15,1.0,226,226,1.0
2SIC.I,11,11,1.0,96,96,1.0
3VLB.B,17,17,1.0,201,201,1.0
1DFJ.E,18,18,1.0,106,106,1.0
1IRA.X,23,23,1.0,122,122,1.0
1AY7.B,9,9,1.0,80,80,1.0
2HRK.B,8,8,1.0,113,113,1.0
2J0T.D,11,11,1.0,113,113,1.0
7CEI.A,13,13,1.0,74,74,1.0
1FFW.B,10,10,1.0,58,58,1.0
1PVH.B,8,8,1.0,161,161,1.0
3RVW.C,13,13,1.0,416,416,1.0
1WEJ.H,11,11,1.0,426,426,1.0
1S1Q.A,11,11,1.0,126,126,1.0
