threshold,TPR,FPR
0.0,1.0,1.0
0.01,1.0,1.0
0.02,1.0,1.0
0.03,0.9363636363636364,0.2881887412274153
0.04,0.8696969696969697,0.1835150067194266
0.05,0.8151515151515152,0.1446916529789458
0.06,0.7606060606060606,0.11945647304763327
0.07,0.7121212121212122,0.10586829923846498
0.08,0.6848484848484848,0.09287740779453486
0.09,0.6515151515151515,0.08347021054203374
0.1,0.6454545454545455,0.07690010452441391
0.11,0.6272727272727273,0.0718232044198895
0.12,0.6242424242424243,0.06555173958488876
0.13,0.6,0.06226668657607884
0.14,0.5909090909090909,0.057936389428102135
0.15,0.5818181818181818,0.054502015827982676
0.16,0.5606060606060606,0.05032103927131552
0.17,0.5484848484848485,0.04688666567119606
0.18,0.5272727272727272,0.04404957443631477
0.19,0.509090909090909,0.04091384201881439
0.2,0.503030303030303,0.038823353740480814
0.21,0.5,0.03568762132298044
0.22,0.4909090909090909,0.03314917127071823
0.23,0.4818181818181818,0.03150664476631328
0.24,0.47878787878787876,0.028968194714051067
0.25,0.4666666666666667,0.026877706435717484
0.26,0.45454545454545453,0.024637897566074363
0.27,0.44242424242424244,0.02254740928774078
0.28,0.4303030303030303,0.02165148573988353
0.29,0.42424242424242425,0.020755562192026282
0.3,0.41818181818181815,0.019411676870240407
0.31,0.41515151515151516,0.018217112139764072
0.32,0.4090909090909091,0.017171868000597282
0.33,0.4,0.015827982678811407
0.34,0.3878787878787879,0.015081379722263701
0.35,0.37272727272727274,0.014633417948335075
0.36,0.36363636363636365,0.013737494400477826
0.37,0.3575757575757576,0.012841570852620577
0.38,0.3484848484848485,0.01224428848738241
0.39,0.3424242424242424,0.01119904434821562
0.4,0.3303030303030303,0.010303120800358369
0.41,0.3242424242424242,0.009705838435120203
0.42,0.3212121212121212,0.00940719725250112
0.43,0.3181818181818182,0.008361953113334328
0.44,0.3090909090909091,0.007615350156786621
0.45,0.30303030303030304,0.007466029565477079
0.46,0.296969696969697,0.007018067791548455
0.47,0.2909090909090909,0.006868747200238913
0.48,0.2909090909090909,0.00657010601761983
0.49,0.28484848484848485,0.006420785426310288
0.5,0.2787878787878788,0.0062714648350007465
0.51,0.26666666666666666,0.005823503061072122
0.52,0.25757575757575757,0.00567418246976258
0.53,0.2545454545454545,0.0055248618784530384
0.54,0.24545454545454545,0.005226220695833956
0.55,0.23636363636363636,0.005076900104524414
0.56,0.23030303030303031,0.004927579513214872
0.57,0.22121212121212122,0.0046289383305957894
0.58,0.21515151515151515,0.004330297147976706
0.59,0.20303030303030303,0.004180976556667164
0.6,0.20303030303030303,0.004031655965357623
0.61,0.19696969696969696,0.0038823353740480814
0.62,0.19696969696969696,0.003583694191428998
0.63,0.18484848484848485,0.0034343736001194564
0.64,0.1787878787878788,0.0031357324175003733
0.65,0.17575757575757575,0.002986411826190832
0.66,0.1696969696969697,0.00283709123488129
0.67,0.1606060606060606,0.0026877706435717488
0.68,0.1606060606060606,0.002389129460952665
0.69,0.1484848484848485,0.001791847095714499
0.7,0.14242424242424243,0.0016425265044049575
0.71,0.1393939393939394,0.0016425265044049575
0.72,0.1393939393939394,0.0013438853217858744
0.73,0.13333333333333333,0.0013438853217858744
0.74,0.11515151515151516,0.0013438853217858744
0.75,0.11212121212121212,0.0013438853217858744
0.76,0.10606060606060606,0.0013438853217858744
0.77,0.08787878787878788,0.001045244139166791
0.78,0.08181818181818182,0.0008959235478572496
0.79,0.08181818181818182,0.0008959235478572496
0.8,0.07575757575757576,0.0008959235478572496
0.81,0.06060606060606061,0.000746602956547708
0.82,0.05757575757575758,0.00029864118261908315
0.83,0.045454545454545456,0.00014932059130954157
0.84,0.045454545454545456,0.00014932059130954157
0.85,0.03333333333333333,0.00014932059130954157
0.86,0.030303030303030304,0.00014932059130954157
0.87,0.01818181818181818,0.00014932059130954157
0.88,0.015151515151515152,0.0
0.89,0.012121212121212121,0.0
0.9,0.006060606060606061,0.0
0.91,0.0,0.0
0.92,0.0,0.0
0.93,0.0,0.0
0.94,0.0,0.0
0.95,0.0,0.0
0.96,0.0,0.0
0.97,0.0,0.0
0.98,0.0,0.0
0.99,0.0,0.0
1.0,0.0,0.0
1.01,0.0,0.0
