,predus,ispred,dockpred,rfscore,logreg
cv1,0.7175808467823459,0.8009830060231271,0.8538828135686835,0.8853087229094776,0.8574148731065349
cv2,0.7126816088655924,0.8039470622404026,0.7855007715752383,0.864648688322095,0.8428818685067831
cv3,0.6872088386945071,0.7809642700136659,0.7965706863824263,0.847398888006625,0.8195181163247987
cv4,0.6146611028344728,0.795986807087449,0.8111804623232353,0.8513914475391429,0.8276327790287727
cv5,0.6806885838902489,0.8269004567204167,0.8268341495380314,0.8958700776636372,0.8840123232006454
cv6,0.6406585097112898,0.8347656255626211,0.6660531906466272,0.8418338026343269,0.8482709799148779
cv7,0.684740951902673,0.8257964935084114,0.7339741222693233,0.8759597063645628,0.8584826374015921
cv8,0.6939349015948508,0.775423295155246,0.7885428111313457,0.8395915797500614,0.8216867590767023
cv9,0.7772510079139913,0.8352351346826484,0.8917937022909399,0.9250962665327308,0.9031045108393174
cv10,0.7562104438809212,0.7993297213402375,0.8798883549626728,0.904636678600095,0.8776717028576299
