threshold,TPR,FPR
0.0,1.0,1.0
0.01,0.6097560975609756,0.14806156243911942
0.02,0.6097560975609756,0.1428014806156244
0.03,0.6097560975609756,0.14007403078121955
0.04,0.6097560975609756,0.13871030586401714
0.05,0.6097560975609756,0.13598285602961233
0.06,0.6097560975609756,0.1353984024936684
0.07,0.6097560975609756,0.1352035846483538
0.08,0.6097560975609756,0.13442431326709525
0.09,0.6097560975609756,0.13442431326709525
0.1,0.6097560975609756,0.13422949542178064
0.11,0.5121951219512195,0.0954607442041691
0.12,0.5121951219512195,0.09487629066822521
0.13,0.5121951219512195,0.09487629066822521
0.14,0.5121951219512195,0.09487629066822521
0.15,0.5121951219512195,0.09409701928696669
0.16,0.5121951219512195,0.09409701928696669
0.17,0.5121951219512195,0.09390220144165205
0.18,0.5121951219512195,0.09390220144165205
0.19,0.5121951219512195,0.09390220144165205
0.2,0.5121951219512195,0.09390220144165205
0.21,0.43680709534368073,0.07364114552893045
0.22,0.43680709534368073,0.07364114552893045
0.23,0.43680709534368073,0.07364114552893045
0.24,0.43680709534368073,0.07364114552893045
0.25,0.43680709534368073,0.07364114552893045
0.26,0.43680709534368073,0.07344632768361582
0.27,0.43680709534368073,0.07344632768361582
0.28,0.43680709534368073,0.07344632768361582
0.29,0.43680709534368073,0.07344632768361582
0.3,0.43680709534368073,0.07344632768361582
0.31,0.37472283813747226,0.06078316773816481
0.32,0.37472283813747226,0.06078316773816481
0.33,0.37472283813747226,0.06078316773816481
0.34,0.37472283813747226,0.06000389635690629
0.35,0.37472283813747226,0.06000389635690629
0.36,0.37472283813747226,0.06000389635690629
0.37,0.37472283813747226,0.06000389635690629
0.38,0.37472283813747226,0.06000389635690629
0.39,0.37472283813747226,0.06000389635690629
0.4,0.37472283813747226,0.06000389635690629
0.41,0.3170731707317073,0.049483732709916226
0.42,0.3170731707317073,0.049483732709916226
0.43,0.3170731707317073,0.049483732709916226
0.44,0.3170731707317073,0.049483732709916226
0.45,0.3170731707317073,0.049483732709916226
0.46,0.3170731707317073,0.049094097019286964
0.47,0.3170731707317073,0.049094097019286964
0.48,0.3170731707317073,0.049094097019286964
0.49,0.3170731707317073,0.049094097019286964
0.5,0.3170731707317073,0.049094097019286964
0.51,0.2727272727272727,0.03935320475355543
0.52,0.2727272727272727,0.03935320475355543
0.53,0.2727272727272727,0.03935320475355543
0.54,0.2727272727272727,0.03935320475355543
0.55,0.2727272727272727,0.03935320475355543
0.56,0.2727272727272727,0.03935320475355543
0.57,0.2727272727272727,0.03935320475355543
0.58,0.2727272727272727,0.03935320475355543
0.59,0.2727272727272727,0.03935320475355543
0.6,0.2727272727272727,0.03935320475355543
0.61,0.2039911308203991,0.0335086693941165
0.62,0.2039911308203991,0.0335086693941165
0.63,0.2039911308203991,0.0335086693941165
0.64,0.2039911308203991,0.0335086693941165
0.65,0.2039911308203991,0.0335086693941165
0.66,0.2039911308203991,0.0335086693941165
0.67,0.2039911308203991,0.0335086693941165
0.68,0.2039911308203991,0.0335086693941165
0.69,0.2039911308203991,0.0335086693941165
0.7,0.2039911308203991,0.0335086693941165
0.71,0.1574279379157428,0.027469316189362946
0.72,0.1574279379157428,0.027469316189362946
0.73,0.1574279379157428,0.027469316189362946
0.74,0.1574279379157428,0.027469316189362946
0.75,0.1574279379157428,0.027469316189362946
0.76,0.1574279379157428,0.027469316189362946
0.77,0.1574279379157428,0.027469316189362946
0.78,0.1574279379157428,0.027469316189362946
0.79,0.1574279379157428,0.027469316189362946
0.8,0.1574279379157428,0.027469316189362946
0.81,0.10421286031042129,0.022014416520553283
0.82,0.10421286031042129,0.022014416520553283
0.83,0.10421286031042129,0.022014416520553283
0.84,0.10421286031042129,0.022014416520553283
0.85,0.10421286031042129,0.022014416520553283
0.86,0.10421286031042129,0.022014416520553283
0.87,0.10421286031042129,0.022014416520553283
0.88,0.10421286031042129,0.022014416520553283
0.89,0.10421286031042129,0.022014416520553283
0.9,0.10421286031042129,0.022014416520553283
0.91,0.07982261640798226,0.015000974089226573
0.92,0.07982261640798226,0.015000974089226573
0.93,0.07982261640798226,0.015000974089226573
0.94,0.07982261640798226,0.015000974089226573
0.95,0.07982261640798226,0.015000974089226573
0.96,0.07982261640798226,0.015000974089226573
0.97,0.07982261640798226,0.015000974089226573
0.98,0.07982261640798226,0.015000974089226573
0.99,0.07982261640798226,0.015000974089226573
1.0,0.07982261640798226,0.015000974089226573
1.01,0.0,0.0
